,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,876.0,876.5,784.349976,825.25,805.748779,4591243.0
1,2016-09-30,829.900024,859.799988,818.049988,855.450012,835.235291,2665449.0
2,2016-10-03,862.0,873.950012,860.0,870.0,849.441345,1421425.0
3,2016-10-04,870.0,883.0,864.25,867.849976,847.342224,1140725.0
4,2016-10-05,872.950012,873.0,860.299988,866.349976,845.877686,1320553.0
5,2016-10-06,874.0,895.0,851.400024,856.849976,836.602051,2835229.0
6,2016-10-07,841.599976,875.0,834.5,855.799988,835.576965,19421500.0
7,2016-10-10,859.950012,863.700012,849.099976,856.75,836.504578,1248029.0
8,2016-10-13,853.950012,853.950012,817.650024,821.049988,801.64801,2225473.0
9,2016-10-14,825.200012,829.599976,813.099976,823.549988,804.088928,1777821.0
10,2016-10-17,830.0,830.0,806.049988,809.5,790.371094,1185530.0
11,2016-10-18,815.0,837.950012,812.0,835.049988,815.317322,1672372.0
12,2016-10-19,839.450012,840.400024,825.099976,827.950012,808.385254,1120956.0
13,2016-10-20,833.049988,833.049988,822.299988,825.849976,806.334778,969072.0
14,2016-10-21,827.950012,827.950012,819.0,822.799988,803.356812,853057.0
15,2016-10-24,825.099976,825.900024,814.700012,818.400024,799.060669,1067056.0
16,2016-10-25,819.5,831.25,819.0,824.900024,805.407166,1027160.0
17,2016-10-26,821.200012,823.849976,803.049988,805.700012,786.660828,1088753.0
18,2016-10-27,806.950012,815.950012,798.599976,807.900024,788.80896,1389820.0
19,2016-10-28,804.0,825.150024,800.25,811.799988,792.616699,2041725.0
20,2016-11-01,824.799988,826.75,806.799988,809.099976,789.980591,1108116.0
21,2016-11-02,803.0,803.0,786.599976,789.5,770.843689,1080545.0
22,2016-11-03,793.0,795.0,767.0,769.299988,751.120972,1491112.0
23,2016-11-04,761.099976,769.0,707.5,728.099976,710.894531,5798528.0
24,2016-11-07,756.0,776.5,750.700012,767.299988,749.168213,3012387.0
25,2016-11-08,773.0,774.0,749.400024,755.650024,737.793701,1288030.0
26,2016-11-09,700.150024,771.599976,680.099976,759.650024,741.699036,4672674.0
27,2016-11-10,772.25,804.400024,772.25,792.200012,773.479919,2889100.0
28,2016-11-11,785.0,795.299988,767.049988,772.200012,753.952576,1891457.0
29,2016-11-15,783.5,791.0,728.900024,733.900024,716.557617,3077803.0
30,2016-11-16,746.0,757.0,698.0,714.25,697.371948,4153680.0
31,2016-11-17,710.099976,722.900024,704.0,710.099976,693.320007,2864150.0
32,2016-11-18,715.049988,727.799988,712.549988,722.400024,705.329285,1791827.0
33,2016-11-21,725.0,727.25,710.0,712.200012,695.3703,1648255.0
34,2016-11-22,719.900024,729.5,704.099976,720.150024,703.132385,2012919.0
35,2016-11-23,725.950012,732.150024,716.700012,730.200012,712.944946,1674693.0
36,2016-11-24,728.900024,729.950012,705.099976,709.650024,694.068909,2520798.0
37,2016-11-25,716.900024,744.400024,712.400024,740.650024,724.388184,1948129.0
38,2016-11-28,740.5,748.099976,732.849976,736.849976,720.671387,1677926.0
39,2016-11-29,740.700012,746.900024,730.200012,740.549988,724.290222,1504955.0
40,2016-11-30,745.200012,749.5,736.799988,740.799988,724.53479,1432415.0
41,2016-12-01,744.900024,756.900024,738.400024,743.150024,726.833252,1251385.0
42,2016-12-02,743.450012,743.450012,717.0,719.549988,703.751343,1457782.0
43,2016-12-05,723.5,730.599976,714.950012,724.200012,708.299194,1033306.0
44,2016-12-06,730.0,735.349976,726.450012,731.25,715.194519,743112.0
45,2016-12-07,735.0,735.0,719.0,722.650024,706.783325,901214.0
46,2016-12-08,727.099976,727.799988,715.5,720.5,704.680542,1652732.0
47,2016-12-09,723.0,727.900024,720.0,723.900024,708.005859,1182220.0
48,2016-12-12,722.900024,723.900024,712.049988,715.299988,699.594727,751910.0
49,2016-12-13,717.0,721.450012,715.0,718.599976,702.822266,915784.0
50,2016-12-14,718.599976,722.0,696.0,702.450012,687.026855,3022135.0
51,2016-12-15,693.549988,708.0,689.049988,694.25,679.006775,1875203.0
52,2016-12-16,683.849976,699.5,664.099976,690.650024,675.485962,4824289.0
53,2016-12-19,690.0,712.450012,689.349976,698.700012,683.359192,2793945.0
54,2016-12-20,686.099976,694.700012,669.349976,672.650024,657.881104,5039080.0
55,2016-12-21,682.0,687.299988,663.549988,665.099976,650.496826,2930322.0
56,2016-12-22,667.950012,670.5,655.650024,659.0,644.530823,1497015.0
57,2016-12-23,663.900024,667.150024,645.349976,647.549988,633.332153,2210791.0
58,2016-12-26,646.0,646.0,621.900024,624.5,610.78833,2718624.0
59,2016-12-27,627.0,649.0,623.0,644.700012,630.544739,1851141.0
60,2016-12-28,648.950012,660.0,641.349976,651.75,637.440002,1720190.0
61,2016-12-29,654.299988,655.5,644.599976,647.200012,632.989929,1232704.0
