,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-03-27,499.0,499.0,455.0,476.850006,471.783356,91036634.0
1,2018-03-28,463.850006,478.899994,463.0,469.049988,464.066223,12056881.0
2,2018-04-02,474.899994,485.0,472.0,475.700012,470.645599,5239378.0
3,2018-04-03,474.0,485.899994,469.149994,483.450012,478.313232,2796977.0
4,2018-04-04,484.600006,488.799988,478.0,486.049988,480.88559,2459030.0
5,2018-04-05,490.0,514.900024,487.299988,509.200012,503.789642,8163440.0
6,2018-04-06,512.5,517.700012,505.200012,508.25,502.849731,1844654.0
7,2018-04-09,508.799988,519.900024,496.049988,514.450012,508.983856,2656272.0
8,2018-04-10,515.0,520.799988,510.200012,518.650024,513.139282,1731872.0
9,2018-04-11,519.900024,535.0,513.0,533.5,527.831482,3555719.0
10,2018-04-12,530.0,540.799988,526.099976,534.75,529.068176,1884412.0
11,2018-04-13,533.0,536.950012,526.400024,528.650024,523.032959,1057977.0
12,2018-04-16,523.900024,532.349976,516.099976,518.799988,513.287598,760439.0
13,2018-04-17,520.0,521.400024,500.0,505.100006,499.733185,1156139.0
14,2018-04-18,508.0,513.5,501.0,504.149994,498.793304,815508.0
15,2018-04-19,505.200012,508.899994,502.0,505.100006,499.733185,589106.0
16,2018-04-20,505.100006,510.5,493.100006,495.049988,489.790009,949874.0
17,2018-04-23,496.0,504.299988,481.75,498.350006,493.054932,2474228.0
18,2018-04-24,500.0,502.299988,486.0,489.850006,484.645233,1200876.0
19,2018-04-25,490.049988,497.100006,485.25,494.299988,489.047943,1313604.0
20,2018-04-26,497.100006,501.399994,491.100006,495.0,489.74054,1878261.0
21,2018-04-27,498.799988,522.950012,498.5,506.450012,501.068878,5635987.0
22,2018-04-30,509.5,515.900024,502.700012,513.450012,507.994507,1461600.0
23,2018-05-02,513.0,520.900024,511.0,515.849976,510.368988,1319363.0
24,2018-05-03,511.950012,515.0,496.399994,502.049988,496.715607,861937.0
25,2018-05-04,503.0,506.0,500.5,504.600006,499.238495,1078225.0
26,2018-05-07,507.0,508.0,492.649994,494.5,489.245819,764766.0
27,2018-05-08,496.950012,497.0,490.0,494.350006,489.097412,568372.0
28,2018-05-09,492.0,495.25,485.299988,488.600006,483.408508,505802.0
29,2018-05-10,490.0,493.899994,484.049988,486.450012,481.281403,251959.0
30,2018-05-11,486.549988,492.200012,480.25,484.350006,479.203674,1030945.0
31,2018-05-14,484.0,489.399994,478.399994,479.950012,474.850433,377154.0
32,2018-05-15,483.899994,489.799988,473.5,483.850006,478.708984,1463884.0
33,2018-05-16,479.899994,484.899994,475.0,482.5,477.373322,432584.0
34,2018-05-17,483.0,487.0,477.649994,483.850006,478.708984,477080.0
35,2018-05-18,481.049988,485.049988,478.0,479.549988,474.454681,294337.0
36,2018-05-21,474.0,481.200012,463.200012,468.799988,463.818878,363194.0
37,2018-05-22,468.799988,477.399994,468.0,470.350006,465.352448,243251.0
38,2018-05-23,471.799988,500.0,469.299988,495.950012,490.68045,1809012.0
39,2018-05-24,489.799988,495.100006,474.600006,477.200012,472.129669,435390.0
40,2018-05-25,483.75,487.0,476.850006,483.100006,477.96698,289819.0
41,2018-05-28,486.700012,488.399994,481.0,484.549988,479.40152,228736.0
42,2018-05-29,485.100006,488.5,478.25,479.75,474.652557,172900.0
43,2018-05-30,477.0,478.950012,468.200012,469.899994,464.907196,372779.0
44,2018-05-31,472.200012,474.0,463.100006,470.5,465.500854,375833.0
45,2018-06-01,470.0,478.75,470.0,475.100006,470.051971,347149.0
46,2018-06-04,479.0,479.0,470.399994,473.950012,468.914215,331178.0
47,2018-06-05,474.0,474.0,456.149994,470.049988,465.055634,535857.0
48,2018-06-06,471.0,503.600006,467.0,495.700012,490.433075,2580270.0
49,2018-06-07,501.0,502.899994,491.200012,498.049988,492.758087,767664.0
50,2018-06-08,496.899994,502.350006,492.299988,498.100006,492.807587,971489.0
51,2018-06-11,501.0,529.0,496.049988,512.200012,506.757782,3530631.0
52,2018-06-12,510.100006,525.5,505.549988,520.200012,514.672791,1061375.0
53,2018-06-13,521.049988,539.849976,518.549988,535.700012,530.008118,1541850.0
54,2018-06-14,538.0,560.0,538.0,547.200012,541.385864,3171005.0
55,2018-06-15,544.400024,553.799988,531.400024,550.150024,544.304565,1468910.0
56,2018-06-18,548.049988,557.900024,545.200012,551.950012,546.085388,653866.0
57,2018-06-19,546.25,549.950012,532.0,534.200012,528.524048,603528.0
58,2018-06-20,536.950012,551.400024,535.150024,539.700012,533.965576,617216.0
59,2018-06-21,541.0,547.900024,535.150024,537.549988,531.838379,327133.0
