,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,506.0,508.5,475.850006,483.350006,464.512634,831212.0
1,2016-09-30,475.25,496.649994,475.25,490.299988,471.191742,458338.0
2,2016-10-03,493.0,501.700012,491.149994,496.549988,477.198181,237396.0
3,2016-10-04,498.0,499.600006,487.149994,489.049988,469.990417,353932.0
4,2016-10-05,490.0,496.350006,485.5,492.299988,473.113739,447612.0
5,2016-10-06,494.0,496.5,483.0,486.649994,467.68396,294744.0
6,2016-10-07,487.0,496.200012,485.450012,494.649994,475.372223,534863.0
7,2016-10-10,497.0,507.5,495.25,501.049988,481.522705,567161.0
8,2016-10-13,500.75,505.75,492.299988,496.200012,476.861786,536169.0
9,2016-10-14,495.0,498.450012,484.75,486.799988,467.828125,714482.0
10,2016-10-17,485.0,486.799988,480.600006,482.549988,463.743713,279908.0
11,2016-10-18,485.0,490.600006,482.25,488.450012,469.41391,274364.0
12,2016-10-19,491.5,495.899994,486.5,495.149994,475.852722,302068.0
13,2016-10-20,497.399994,501.649994,489.0,494.899994,475.612457,462421.0
14,2016-10-21,494.5,497.799988,491.100006,492.549988,473.354065,238237.0
15,2016-10-24,495.5,496.350006,487.200012,488.5,469.461914,234510.0
16,2016-10-25,491.0,491.950012,480.600006,481.899994,463.11911,437832.0
17,2016-10-26,482.0,485.899994,479.0,481.100006,462.350281,414790.0
18,2016-10-27,481.100006,487.350006,469.799988,482.950012,464.128204,598318.0
19,2016-10-28,483.0,486.0,479.25,481.299988,462.542511,264991.0
20,2016-11-01,481.799988,486.399994,481.5,483.850006,464.993103,240027.0
21,2016-11-02,481.950012,481.950012,470.200012,471.600006,453.22052,233375.0
22,2016-11-03,474.450012,476.100006,458.149994,459.299988,441.399872,364807.0
23,2016-11-04,459.350006,469.399994,448.799988,455.600006,437.844055,553656.0
24,2016-11-07,462.0,465.299988,457.0,460.649994,442.697235,341992.0
25,2016-11-08,462.799988,466.649994,460.649994,463.450012,445.388123,311047.0
26,2016-11-09,439.899994,455.200012,422.350006,454.049988,436.354462,486585.0
27,2016-11-10,456.049988,465.799988,456.049988,461.549988,443.562164,311375.0
28,2016-11-11,459.399994,460.399994,428.5,433.649994,416.749573,695754.0
29,2016-11-15,435.0,435.899994,419.399994,424.200012,407.667877,703415.0
30,2016-11-16,428.0,433.0,415.0,428.600006,411.896332,527833.0
31,2016-11-17,427.0,431.799988,421.0,427.350006,410.695038,337162.0
32,2016-11-18,426.950012,429.450012,420.0,425.299988,408.724915,319233.0
33,2016-11-21,427.850006,427.899994,413.5,419.200012,402.862671,465016.0
34,2016-11-22,420.0,423.399994,415.25,419.100006,402.766602,207965.0
35,2016-11-23,421.0,424.899994,415.0,417.149994,400.892578,266454.0
36,2016-11-24,418.0,418.0,400.100006,402.549988,386.861511,1501914.0
37,2016-11-25,403.799988,417.899994,399.200012,412.950012,396.856293,1074669.0
38,2016-11-28,411.399994,414.600006,408.549988,411.899994,395.847229,354806.0
39,2016-11-29,411.950012,418.0,411.25,412.75,396.664063,460010.0
40,2016-11-30,415.899994,419.899994,413.0,415.850006,399.643219,499151.0
41,2016-12-01,415.899994,417.049988,410.100006,414.450012,398.297821,411171.0
42,2016-12-02,413.100006,417.0,409.0,411.899994,395.847229,673388.0
43,2016-12-05,409.799988,411.0,404.0,410.0,394.02124,462862.0
44,2016-12-06,411.899994,418.0,410.850006,415.100006,398.922485,493132.0
45,2016-12-07,419.899994,420.899994,413.0,415.5,399.306915,625439.0
46,2016-12-08,417.549988,426.899994,416.049988,424.950012,408.388611,633538.0
47,2016-12-09,428.25,429.5,424.799988,425.600006,409.013245,435342.0
48,2016-12-12,428.0,432.5,412.799988,414.75,398.58609,878941.0
49,2016-12-13,413.200012,420.5,412.049988,419.549988,403.199036,337126.0
50,2016-12-14,419.0,420.799988,415.850006,417.25,400.988708,164897.0
51,2016-12-15,414.5,421.649994,413.0,417.850006,401.565277,208865.0
52,2016-12-16,417.850006,420.899994,416.0,418.799988,402.478271,162475.0
53,2016-12-19,419.899994,422.0,416.5,417.049988,400.796448,437306.0
54,2016-12-20,419.0,428.200012,417.100006,421.299988,404.880829,770662.0
55,2016-12-21,423.899994,429.549988,417.200012,419.0,402.670471,414886.0
56,2016-12-22,421.0,422.0,416.100006,418.600006,402.286041,308714.0
57,2016-12-23,419.850006,426.850006,417.200012,424.899994,408.340515,301891.0
58,2016-12-26,424.5,425.75,419.549988,420.700012,404.30426,163317.0
59,2016-12-27,420.899994,427.299988,419.350006,426.350006,409.734039,165924.0
60,2016-12-28,426.399994,439.899994,425.950012,438.350006,421.266357,688975.0
61,2016-12-29,443.700012,449.5,441.0,448.450012,430.972748,1312252.0
62,2016-12-30,449.0,452.0,446.0,450.399994,432.84668,360320.0
63,2017-01-02,450.549988,453.75,444.399994,447.149994,429.723389,198639.0
64,2017-01-03,447.5,464.75,445.549988,463.149994,445.099792,471020.0
65,2017-01-04,464.850006,466.899994,461.0,463.350006,445.292084,341719.0
66,2017-01-05,464.049988,471.5,464.049988,470.399994,452.067261,190214.0
67,2017-01-06,472.5,474.149994,464.049988,472.25,453.845184,617479.0
68,2017-01-09,468.0,472.0,460.100006,463.049988,445.003723,86742.0
69,2017-01-10,462.25,469.5,461.149994,466.0,447.838776,131992.0
70,2017-01-11,466.049988,479.0,465.450012,476.75,458.1698,203670.0
71,2017-01-12,485.600006,499.0,482.0,485.5,466.578796,1496594.0
72,2017-01-13,485.200012,488.399994,474.049988,476.200012,457.641266,283147.0
73,2017-01-16,474.200012,480.0,471.049988,476.100006,457.545197,241123.0
74,2017-01-17,477.950012,482.149994,468.75,470.950012,452.595886,251455.0
75,2017-01-18,469.149994,470.850006,464.299988,464.950012,446.829712,289534.0
76,2017-01-19,466.799988,473.0,463.0,468.299988,450.049103,310879.0
77,2017-01-20,467.100006,476.0,459.25,461.25,443.273895,274972.0
78,2017-01-23,461.25,469.600006,456.549988,466.75,448.559509,264430.0
79,2017-01-24,468.399994,471.0,462.549988,464.149994,446.060883,309908.0
80,2017-01-25,465.25,480.799988,464.0,479.350006,460.668488,546047.0
81,2017-01-27,481.950012,490.299988,481.350006,483.399994,464.560638,405934.0
82,2017-01-30,482.0,484.5,477.149994,481.850006,463.071045,116609.0
83,2017-01-31,481.0,486.5,477.049988,479.450012,460.764587,229772.0
84,2017-02-01,479.700012,497.75,474.75,489.25,470.182678,456960.0
85,2017-02-02,489.700012,489.700012,482.0,485.799988,466.867096,220780.0
86,2017-02-03,486.899994,498.399994,484.049988,493.549988,474.315094,510427.0
87,2017-02-06,499.899994,514.5,499.5,508.700012,488.874664,1320350.0
88,2017-02-07,513.950012,514.0,503.100006,504.899994,485.222717,1084180.0
89,2017-02-08,506.899994,510.0,495.200012,507.850006,488.057739,753815.0
90,2017-02-09,507.700012,512.400024,501.100006,509.200012,489.355103,745624.0
91,2017-02-10,513.450012,514.0,486.850006,499.600006,480.129272,1612620.0
92,2017-02-13,499.0,502.0,488.100006,496.149994,476.813751,284978.0
