,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,618.950012,623.0,511.5,558.099976,555.305664,217616.0
1,2016-09-30,564.900024,581.75,560.049988,570.849976,567.991821,192538.0
2,2016-10-03,575.049988,614.900024,574.0,602.799988,599.78186,266349.0
3,2016-10-04,607.700012,620.0,603.049988,614.450012,611.373596,231420.0
4,2016-10-05,617.950012,674.0,616.0,655.950012,652.665771,1276719.0
5,2016-10-06,656.349976,661.799988,622.099976,630.799988,627.641724,283880.0
6,2016-10-07,635.0,657.0,620.0,649.950012,646.695862,233219.0
7,2016-10-10,653.200012,666.200012,635.0,651.150024,647.889832,305187.0
8,2016-10-13,651.900024,651.900024,621.0,632.650024,629.482483,105767.0
9,2016-10-14,638.950012,647.950012,628.0,633.650024,630.477539,103407.0
10,2016-10-17,637.950012,646.900024,624.200012,627.950012,624.805969,128412.0
11,2016-10-18,632.849976,650.75,630.450012,641.75,638.536865,153660.0
12,2016-10-19,642.099976,652.0,635.25,644.0,640.775574,124508.0
13,2016-10-20,643.950012,655.0,638.099976,640.349976,637.14386,86925.0
14,2016-10-21,640.349976,647.0,627.25,629.950012,626.795959,85921.0
15,2016-10-24,625.099976,643.0,625.0,627.700012,624.557251,68692.0
16,2016-10-25,628.049988,641.0,624.5,626.25,623.114502,58045.0
17,2016-10-26,627.0,630.200012,597.950012,607.799988,604.756836,77561.0
18,2016-10-27,607.700012,610.0,588.5,597.200012,594.2099,57695.0
19,2016-10-28,602.5,618.75,600.099976,605.450012,602.418579,75423.0
20,2016-11-01,607.0,626.0,601.400024,611.200012,608.139893,137217.0
21,2016-11-02,600.0,604.0,590.0,591.900024,588.936523,52807.0
22,2016-11-03,596.0,610.0,575.25,581.650024,578.737732,92766.0
23,2016-11-04,586.700012,595.0,548.150024,564.650024,561.822937,137889.0
24,2016-11-07,573.950012,590.0,573.900024,576.599976,573.713013,66150.0
25,2016-11-08,582.599976,583.75,554.0,559.299988,556.499634,65177.0
26,2016-11-09,510.0,550.0,492.0,540.700012,537.992798,120765.0
