,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,240.0,245.5,221.550003,226.300003,223.985016,867573.0
1,2016-09-30,226.0,236.449997,223.050003,234.100006,231.705231,264296.0
2,2016-10-03,234.399994,246.0,234.399994,240.100006,237.643845,211708.0
3,2016-10-04,240.0,242.649994,236.449997,237.899994,235.466354,59601.0
4,2016-10-05,238.899994,243.699997,238.0,239.449997,237.000519,114264.0
5,2016-10-06,239.899994,244.949997,234.100006,235.25,232.84346,66778.0
6,2016-10-07,235.600006,240.300003,233.050003,234.399994,232.002167,79287.0
7,2016-10-10,234.899994,239.899994,232.600006,234.0,231.606247,89527.0
8,2016-10-13,234.899994,234.899994,224.949997,227.300003,224.974808,75902.0
9,2016-10-14,227.800003,231.899994,226.5,227.300003,224.974808,52720.0
10,2016-10-17,227.0,230.0,226.0,227.550003,225.222229,55197.0
11,2016-10-18,228.800003,234.0,228.0,233.0,230.616486,77104.0
12,2016-10-19,232.949997,235.050003,229.0,229.699997,227.350235,49179.0
13,2016-10-20,230.350006,233.350006,229.0,231.100006,228.735931,28445.0
14,2016-10-21,231.449997,232.699997,225.550003,226.149994,223.836548,169651.0
15,2016-10-24,228.550003,231.0,227.0,228.550003,226.212006,88115.0
16,2016-10-25,227.699997,234.399994,227.550003,231.949997,229.577209,98448.0
17,2016-10-26,232.0,243.399994,228.550003,235.550003,233.140396,229392.0
18,2016-10-27,234.949997,239.0,234.0,235.399994,232.991913,272268.0
19,2016-10-28,238.800003,242.649994,235.600006,238.149994,235.713806,137115.0
20,2016-11-01,237.100006,237.100006,217.550003,224.449997,222.153931,209624.0
21,2016-11-02,225.0,229.0,219.0,220.600006,218.343353,275110.0
22,2016-11-03,222.0,225.25,205.550003,214.649994,212.454193,356698.0
23,2016-11-04,213.199997,222.0,213.199997,218.800003,216.561737,193653.0
24,2016-11-07,220.5,222.199997,217.149994,219.25,217.007141,64892.0
25,2016-11-08,217.25,225.75,217.25,222.350006,220.075439,61064.0
26,2016-11-09,177.899994,214.0,177.899994,210.449997,208.297165,200176.0
27,2016-11-10,212.850006,221.899994,212.800003,218.100006,215.868896,145417.0
28,2016-11-11,212.850006,219.899994,204.699997,206.850006,204.734009,158352.0
29,2016-11-15,204.050003,208.199997,191.199997,199.649994,197.607651,215852.0
30,2016-11-16,202.25,207.0,200.0,204.149994,202.0616,160360.0
31,2016-11-17,204.25,205.0,199.0,201.100006,199.042801,684151.0
32,2016-11-18,206.75,212.5,200.199997,206.949997,204.832962,127115.0
33,2016-11-21,210.5,214.0,202.0,204.649994,202.556473,207605.0
34,2016-11-22,205.0,211.75,204.0,210.399994,208.24765,138084.0
35,2016-11-23,209.100006,217.899994,209.100006,217.600006,215.374023,45478.0
36,2016-11-24,216.0,223.800003,216.0,222.75,220.471329,167804.0
37,2016-11-25,223.850006,229.25,223.850006,228.300003,225.964569,124155.0
38,2016-11-28,228.600006,232.800003,228.350006,231.0,228.636917,69518.0
39,2016-11-29,231.0,232.899994,229.0,230.350006,227.993607,51640.0
40,2016-11-30,231.0,246.0,230.0,243.149994,240.662643,511491.0
41,2016-12-01,243.5,261.950012,243.050003,254.050003,251.451157,968299.0
42,2016-12-02,237.949997,239.5,221.0,224.550003,222.25293,853421.0
43,2016-12-05,223.5,229.550003,220.0,222.149994,219.877487,112405.0
44,2016-12-06,225.0,229.0,222.25,223.5,221.213654,103309.0
45,2016-12-07,229.949997,237.0,224.550003,234.050003,231.655731,193222.0
46,2016-12-08,233.25,233.899994,222.050003,223.449997,221.164185,123912.0
47,2016-12-09,226.800003,226.800003,223.100006,223.649994,221.362122,27754.0
48,2016-12-12,227.0,227.0,222.050003,223.399994,221.114685,26081.0
49,2016-12-13,223.300003,225.399994,223.0,223.350006,221.065186,13513.0
50,2016-12-14,225.0,229.949997,222.600006,224.75,222.450882,163584.0
51,2016-12-15,221.25,228.5,221.25,224.699997,222.401382,55255.0
52,2016-12-16,231.699997,233.5,223.600006,225.649994,223.341675,223304.0
53,2016-12-19,223.800003,224.899994,221.0,221.649994,219.382584,38210.0
54,2016-12-20,222.100006,226.800003,222.0,222.699997,220.421844,39625.0
55,2016-12-21,223.100006,225.699997,221.100006,222.25,219.976456,33173.0
56,2016-12-22,221.649994,223.699997,219.0,220.399994,218.14537,71342.0
57,2016-12-23,219.199997,223.149994,219.0,220.800003,218.54129,17204.0
58,2016-12-26,220.25,220.600006,216.550003,218.449997,216.215302,27219.0
59,2016-12-27,219.25,223.5,218.75,221.649994,219.382584,62893.0
60,2016-12-28,222.199997,224.899994,221.75,222.600006,220.322891,27324.0
61,2016-12-29,223.5,227.0,222.0,222.850006,220.570328,49271.0
62,2016-12-30,222.0,232.75,222.0,229.300003,226.95433,163295.0
63,2017-01-02,225.5,229.5,225.5,228.25,225.91507,36308.0
64,2017-01-03,229.0,229.949997,227.0,228.899994,226.558411,35308.0
65,2017-01-04,226.050003,233.800003,226.050003,228.25,225.91507,78008.0
66,2017-01-05,228.550003,233.5,228.550003,232.050003,229.676208,58951.0
67,2017-01-06,228.649994,232.949997,228.5,229.550003,227.201782,36648.0
68,2017-01-09,229.050003,232.0,223.850006,226.649994,224.331421,46761.0
69,2017-01-10,226.100006,229.949997,226.100006,227.949997,225.618149,28714.0
70,2017-01-11,228.949997,252.25,228.949997,242.649994,240.167755,471558.0
71,2017-01-12,242.0,244.899994,236.649994,242.449997,239.969818,90498.0
72,2017-01-13,243.300003,244.949997,236.0,243.5,241.009064,53709.0
73,2017-01-16,239.199997,246.949997,239.149994,242.449997,239.969818,39628.0
74,2017-01-17,242.300003,244.75,240.0,241.949997,239.474915,27394.0
75,2017-01-18,242.0,243.550003,238.0,240.649994,238.188217,24397.0
76,2017-01-19,242.0,242.350006,239.0,240.149994,237.693344,20414.0
77,2017-01-20,239.699997,244.699997,235.5,236.100006,233.684769,37863.0
78,2017-01-23,241.0,242.399994,236.199997,238.899994,236.4561,66644.0
79,2017-01-24,240.800003,242.0,236.0,237.149994,234.724014,71741.0
80,2017-01-25,238.149994,240.899994,237.0,238.399994,235.961258,57059.0
81,2017-01-27,247.0,248.0,241.100006,242.949997,240.464706,186535.0
82,2017-01-30,242.800003,244.149994,240.600006,242.050003,239.573898,64158.0
83,2017-01-31,240.0,244.0,235.0,238.100006,235.664322,57582.0
84,2017-02-01,238.100006,244.5,235.0,243.649994,241.157532,94370.0
85,2017-02-02,243.5,253.350006,241.100006,249.449997,246.898209,141436.0
86,2017-02-03,246.100006,252.949997,246.100006,247.699997,245.166122,59655.0
87,2017-02-06,248.25,269.299988,248.050003,267.450012,264.714081,367764.0
88,2017-02-07,266.799988,271.0,256.950012,263.549988,260.853943,376155.0
89,2017-02-08,263.75,287.399994,260.600006,283.649994,280.748322,2226852.0
90,2017-02-09,284.0,293.5,274.5,278.899994,276.046936,689224.0
91,2017-02-10,280.0,281.399994,267.549988,273.350006,270.553741,195050.0
92,2017-02-13,275.899994,275.899994,261.700012,270.600006,267.831787,178806.0
93,2017-02-14,270.5,272.600006,265.600006,266.600006,263.872772,72398.0
