,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,113.0,113.5,107.025002,109.900002,103.054535,332546.0
1,2016-09-30,108.75,114.5,107.5,112.974998,105.937996,178956.0
2,2016-10-03,113.75,116.5,113.525002,116.074997,108.844887,99270.0
3,2016-10-04,116.125,118.5,112.875,113.574997,106.500618,60198.0
4,2016-10-05,113.5,116.0,112.5,114.824997,107.67276,52062.0
5,2016-10-06,113.800003,124.199997,113.800003,122.425003,114.79937,494144.0
6,2016-10-07,123.050003,124.0,117.050003,118.5,111.118858,123564.0
7,2016-10-10,120.400002,120.400002,117.449997,118.849998,111.447044,65118.0
8,2016-10-13,118.849998,118.849998,114.550003,116.775002,109.501305,114970.0
9,2016-10-14,118.5,118.5,115.050003,116.0,108.774567,56702.0
10,2016-10-17,117.0,118.400002,115.0,116.949997,109.665405,64004.0
11,2016-10-18,118.0,125.0,115.650002,120.474998,112.970818,226528.0
12,2016-10-19,122.074997,124.0,117.75,118.099998,110.743759,205504.0
13,2016-10-20,119.875,121.0,118.824997,120.275002,112.783287,187554.0
14,2016-10-21,120.0,121.449997,118.775002,120.5,112.994278,52670.0
15,2016-10-24,120.5,123.949997,120.5,122.025002,114.424286,64664.0
16,2016-10-25,122.5,123.949997,121.025002,122.425003,114.79937,111974.0
17,2016-10-26,120.550003,124.949997,120.099998,122.300003,114.682152,265198.0
18,2016-10-27,118.75,123.400002,118.75,122.525002,114.893143,80244.0
19,2016-10-28,125.5,126.449997,118.900002,120.525002,113.017723,339908.0
20,2016-11-01,121.400002,125.849998,120.525002,125.25,117.448402,219228.0
21,2016-11-02,124.724998,125.949997,122.324997,124.425003,116.674797,130686.0
22,2016-11-03,124.0,125.75,122.324997,122.849998,115.197891,93304.0
23,2016-11-04,124.474998,124.5,116.650002,119.800003,112.337883,240524.0
24,2016-11-07,121.574997,126.224998,120.050003,124.949997,117.167084,171178.0
25,2016-11-08,126.449997,127.0,123.5,124.074997,116.346603,105328.0
26,2016-11-09,120.0,125.5,109.974998,124.599998,116.83889,181854.0
27,2016-11-10,126.550003,127.75,122.75,123.974998,116.252815,109658.0
28,2016-11-11,123.849998,126.5,113.25,119.75,112.290985,242744.0
29,2016-11-15,117.574997,118.474998,110.0,115.224998,108.047844,186138.0
30,2016-11-16,116.625,118.300003,113.0,116.724998,109.454407,52678.0
31,2016-11-17,118.974998,119.449997,115.5,116.800003,109.524734,43852.0
32,2016-11-18,116.675003,118.550003,114.5,115.824997,108.610474,36144.0
