,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-11-02,31.1,33.150002,30.049999,32.799999,32.799999,23099679.0
1,2020-11-03,33.150002,33.75,32.700001,32.950001,32.950001,4556016.0
2,2020-11-04,32.950001,33.099998,32.0,32.700001,32.700001,1667520.0
3,2020-11-05,32.700001,33.299999,32.400002,33.0,33.0,3951058.0
4,2020-11-06,32.700001,33.049999,32.5,32.849998,32.849998,1351591.0
5,2020-11-09,33.0,33.5,30.5,32.650002,32.650002,4323953.0
6,2020-11-10,33.5,34.5,33.150002,33.349998,33.349998,5976055.0
7,2020-11-11,33.450001,33.700001,32.799999,32.950001,32.950001,1459446.0
8,2020-11-12,33.0,33.75,33.0,33.549999,33.549999,1868282.0
9,2020-11-13,33.549999,34.75,33.5,34.5,34.5,5544814.0
10,2020-11-14,,,,,,
11,2020-11-17,34.150002,34.700001,33.799999,34.299999,34.299999,2071178.0
12,2020-11-18,34.0,34.549999,33.849998,33.950001,33.950001,2069678.0
13,2020-11-19,33.900002,33.900002,33.049999,33.200001,33.200001,1392356.0
14,2020-11-20,33.200001,33.700001,32.75,33.049999,33.049999,1280775.0
15,2020-11-23,34.700001,38.0,34.349998,37.299999,37.299999,11604586.0
16,2020-11-24,37.75,39.0,36.0,36.200001,36.200001,4370022.0
17,2020-11-25,36.349998,36.700001,34.75,34.950001,34.950001,1673052.0
18,2020-11-26,34.599998,36.049999,34.349998,34.450001,34.450001,2461538.0
19,2020-11-27,34.599998,34.849998,34.099998,34.349998,34.349998,1054709.0
20,2020-12-01,34.5,35.650002,34.049999,34.799999,34.799999,1553456.0
21,2020-12-02,34.900002,35.400002,34.150002,34.400002,34.400002,1058999.0
22,2020-12-03,34.950001,35.349998,34.400002,34.799999,34.799999,1739440.0
23,2020-12-04,35.0,35.349998,34.700001,34.900002,34.900002,1283490.0
24,2020-12-07,35.049999,35.849998,34.700001,35.200001,35.200001,2264012.0
25,2020-12-08,35.900002,35.950001,34.400002,34.700001,34.700001,2767501.0
26,2020-12-09,34.900002,39.549999,34.900002,37.599998,37.599998,9679293.0
27,2020-12-10,37.25,37.900002,36.950001,37.049999,37.049999,1902573.0
28,2020-12-11,37.450001,37.700001,37.0,37.5,37.5,1682915.0
29,2020-12-14,37.700001,37.849998,36.099998,37.599998,37.599998,1669172.0
30,2020-12-15,37.099998,38.25,37.099998,38.099998,38.099998,2757434.0
31,2020-12-16,38.5,39.400002,38.299999,38.950001,38.950001,2540422.0
32,2020-12-17,39.099998,39.599998,39.0,39.049999,39.049999,1812679.0
33,2020-12-18,39.299999,39.799999,39.049999,39.549999,39.549999,2071976.0
34,2020-12-21,39.849998,40.0,35.299999,36.200001,36.200001,2029451.0
35,2020-12-22,34.650002,37.299999,34.5,36.799999,36.799999,1854982.0
36,2020-12-23,37.400002,38.0,35.900002,36.200001,36.200001,2032261.0
37,2020-12-24,36.650002,36.849998,36.0,36.5,36.5,1575992.0
38,2020-12-28,36.5,37.200001,36.5,37.099998,37.099998,1860194.0
39,2020-12-29,37.900002,37.900002,37.200001,37.549999,37.549999,1882732.0
40,2020-12-30,37.549999,37.650002,36.299999,37.5,37.5,1483158.0
41,2020-12-31,37.150002,37.849998,37.150002,37.700001,37.700001,1034633.0
42,2021-01-01,37.75,37.799999,37.349998,37.75,37.75,832887.0
43,2021-01-04,38.299999,38.299999,37.400002,37.950001,37.950001,1156997.0
44,2021-01-05,37.650002,37.650002,37.049999,37.450001,37.450001,614490.0
45,2021-01-06,37.75,37.950001,37.450001,37.650002,37.650002,936322.0
46,2021-01-07,37.900002,42.349998,37.349998,39.900002,39.900002,10240657.0
47,2021-01-08,40.299999,40.5,39.099998,39.450001,39.450001,2127779.0
48,2021-01-11,41.400002,41.900002,40.25,40.950001,40.950001,2804368.0
49,2021-01-12,40.900002,41.849998,40.049999,41.200001,41.200001,3410587.0
50,2021-01-13,41.599998,41.599998,40.900002,41.450001,41.450001,2252023.0
51,2021-01-14,41.700001,42.150002,40.5,41.799999,41.799999,1762138.0
52,2021-01-15,41.799999,41.799999,41.0,41.25,41.25,2133226.0
53,2021-01-18,41.25,41.25,39.700001,40.950001,40.950001,978313.0
54,2021-01-19,41.0,42.049999,40.650002,41.549999,41.549999,1639766.0
55,2021-01-20,41.349998,42.150002,40.799999,41.450001,41.450001,1572725.0
56,2021-01-21,42.299999,42.5,40.5,40.950001,40.950001,2177357.0
57,2021-01-22,41.0,42.25,40.5,41.450001,41.450001,1610899.0
58,2021-01-25,41.349998,41.950001,38.650002,39.349998,39.349998,735882.0
59,2021-01-27,38.900002,39.5,38.650002,39.25,39.25,888863.0
60,2021-01-28,38.200001,40.200001,38.099998,39.900002,39.900002,1048182.0
61,2021-01-29,41.0,41.299999,39.0,39.450001,39.450001,558204.0
62,2021-02-01,39.450001,41.700001,39.450001,40.900002,40.900002,709401.0
63,2021-02-02,42.0,43.349998,41.049999,43.0,43.0,2434890.0
64,2021-02-03,43.099998,43.5,41.599998,42.950001,42.950001,1195566.0
65,2021-02-04,42.950001,43.75,42.400002,43.650002,43.650002,968884.0
66,2021-02-05,44.0,45.25,43.650002,45.0,45.0,1987525.0
67,2021-02-08,46.299999,47.5,45.700001,47.200001,47.200001,1323375.0
68,2021-02-09,47.25,47.299999,45.25,46.200001,46.200001,892785.0
69,2021-02-10,46.200001,47.0,44.849998,45.5,45.5,636005.0
70,2021-02-11,45.5,46.900002,44.950001,46.299999,46.299999,926670.0
71,2021-02-12,46.299999,47.099998,45.349998,46.700001,46.700001,1236877.0
72,2021-02-15,47.0,47.900002,46.700001,47.5,47.5,819454.0
73,2021-02-16,47.900002,48.599998,46.0,46.599998,46.599998,1580145.0
74,2021-02-17,46.099998,48.0,46.099998,47.549999,47.549999,1595628.0
75,2021-02-18,47.950001,51.599998,47.400002,50.049999,50.049999,2318924.0
76,2021-02-19,49.900002,50.450001,47.0,48.099998,48.099998,1815544.0
77,2021-02-22,47.950001,48.950001,45.950001,46.25,46.25,1141955.0
78,2021-02-23,46.950001,47.5,45.299999,47.299999,47.299999,1154056.0
79,2021-02-24,47.5,48.0,46.150002,47.299999,47.299999,242080.0
80,2021-02-25,47.5,48.849998,46.799999,47.5,47.5,963961.0
81,2021-02-26,46.849998,47.200001,46.450001,46.849998,46.849998,408466.0
82,2021-03-01,47.299999,50.799999,47.0,49.450001,49.450001,2542227.0
83,2021-03-02,49.950001,50.5,49.200001,49.400002,49.400002,803337.0
84,2021-03-03,49.0,49.950001,49.0,49.700001,49.700001,717652.0
85,2021-03-04,50.0,59.599998,50.0,59.599998,59.599998,12510525.0
86,2021-03-05,61.0,68.25,60.5,63.5,63.5,16656263.0
87,2021-03-08,64.75,65.400002,59.400002,60.200001,60.200001,2759911.0
88,2021-03-09,61.349998,61.799999,57.799999,58.099998,58.099998,1374570.0
89,2021-03-10,58.900002,62.0,56.75,61.150002,61.150002,1847780.0
90,2021-03-12,61.75,61.900002,58.75,59.400002,59.400002,963201.0
91,2021-03-15,59.400002,59.900002,57.049999,59.049999,59.049999,798917.0
92,2021-03-16,59.099998,59.799999,56.25,58.400002,58.400002,771489.0
93,2021-03-17,58.900002,58.900002,56.599998,57.299999,57.299999,888277.0
94,2021-03-18,57.5,58.700001,54.349998,55.0,55.0,1173472.0
95,2021-03-19,53.900002,56.099998,52.299999,55.25,55.25,1102787.0
96,2021-03-22,57.200001,58.5,55.25,57.950001,57.950001,824801.0
97,2021-03-23,58.099998,62.349998,58.0,61.150002,61.150002,1842802.0
98,2021-03-24,61.849998,62.450001,59.900002,60.049999,60.049999,1070738.0
99,2021-03-25,59.0,60.599998,57.150002,60.049999,60.049999,1386397.0
100,2021-03-26,60.0,62.5,58.25,60.599998,60.599998,718524.0
101,2021-03-30,60.0,60.900002,59.549999,60.0,60.0,519975.0
102,2021-03-31,60.549999,61.0,59.799999,60.25,60.25,478558.0
103,2021-04-01,60.099998,62.5,59.700001,61.849998,61.849998,3561203.0
104,2021-04-05,62.799999,63.0,58.0,59.150002,59.150002,885498.0
105,2021-04-06,59.25,60.049999,58.200001,58.799999,58.799999,2523595.0
106,2021-04-07,58.950001,59.200001,57.0,57.099998,57.099998,3678090.0
107,2021-04-08,58.0,58.049999,56.200001,56.599998,56.599998,612849.0
108,2021-04-09,57.5,57.5,55.549999,56.349998,56.349998,886836.0
109,2021-04-12,55.049999,55.700001,51.0,52.049999,52.049999,2797051.0
110,2021-04-13,52.25,56.349998,52.0,53.849998,53.849998,1367567.0
111,2021-04-15,51.0,55.0,51.0,52.700001,52.700001,876454.0
112,2021-04-16,54.950001,54.950001,52.599998,53.0,53.0,438657.0
113,2021-04-19,50.549999,51.900002,50.0,51.0,51.0,2067933.0
