,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,34.75,34.75,34.75,34.75,29.944544,0.0
1,2016-09-30,34.75,34.75,34.75,34.75,29.944544,0.0
2,2016-10-03,34.75,34.75,34.75,34.75,29.944544,0.0
3,2016-10-04,34.75,34.75,34.75,34.75,29.944544,0.0
4,2016-10-05,34.75,34.75,34.75,34.75,29.944544,0.0
5,2016-10-06,34.75,34.75,34.75,34.75,29.944544,0.0
6,2016-10-07,34.75,34.75,34.75,34.75,29.944544,0.0
7,2016-10-10,34.75,34.75,34.75,34.75,29.944544,0.0
8,2016-10-13,34.75,34.75,34.75,34.75,29.944544,0.0
9,2016-10-14,34.75,34.75,34.75,34.75,29.944544,0.0
10,2016-10-17,34.75,34.75,34.75,34.75,29.944544,0.0
11,2016-10-18,34.75,34.75,34.75,34.75,29.944544,0.0
12,2016-10-19,34.75,34.75,34.75,34.75,29.944544,0.0
13,2016-10-20,34.75,34.75,34.75,34.75,29.944544,0.0
14,2016-10-21,34.75,34.75,34.75,34.75,29.944544,0.0
15,2016-10-24,34.75,34.75,34.75,34.75,29.944544,0.0
16,2016-10-25,34.75,34.75,34.75,34.75,29.944544,0.0
17,2016-10-26,34.75,34.75,34.75,34.75,29.944544,0.0
18,2016-10-27,34.75,34.75,34.75,34.75,29.944544,0.0
19,2016-10-28,34.75,34.75,34.75,34.75,29.944544,0.0
20,2016-11-01,34.75,34.75,34.75,34.75,29.944544,0.0
21,2016-11-02,34.75,34.75,34.75,34.75,29.944544,0.0
22,2016-11-03,34.75,34.75,34.75,34.75,29.944544,0.0
23,2016-11-04,34.75,34.75,34.75,34.75,29.944544,0.0
24,2016-11-07,34.75,34.75,34.75,34.75,29.944544,0.0
25,2016-11-08,34.75,34.75,34.75,34.75,29.944544,0.0
26,2016-11-09,34.75,34.75,34.75,34.75,29.944544,0.0
27,2016-11-10,34.75,34.75,34.75,34.75,29.944544,0.0
28,2016-11-11,34.75,34.75,34.75,34.75,29.944544,0.0
29,2016-11-15,34.75,34.75,34.75,34.75,29.944544,0.0
30,2016-11-16,34.75,34.75,34.75,34.75,29.944544,0.0
31,2016-11-17,34.75,34.75,34.75,34.75,29.944544,0.0
32,2016-11-18,34.75,34.75,34.75,34.75,29.944544,0.0
33,2016-11-21,34.75,34.75,34.75,34.75,29.944544,0.0
34,2016-11-22,34.75,34.75,34.75,34.75,29.944544,0.0
35,2016-11-23,34.75,34.75,34.75,34.75,29.944544,0.0
36,2016-11-24,34.75,34.75,34.75,34.75,29.944544,0.0
37,2016-11-25,34.75,34.75,34.75,34.75,29.944544,0.0
38,2016-11-28,34.75,34.75,34.75,34.75,29.944544,0.0
39,2016-11-29,34.75,34.75,34.75,34.75,29.944544,0.0
40,2016-11-30,34.75,34.75,34.75,34.75,29.944544,0.0
41,2016-12-01,34.75,34.75,34.75,34.75,29.944544,0.0
42,2016-12-02,34.75,34.75,34.75,34.75,29.944544,0.0
43,2016-12-05,34.75,34.75,34.75,34.75,29.944544,0.0
44,2016-12-06,34.75,34.75,34.75,34.75,29.944544,0.0
45,2016-12-07,34.75,34.75,34.75,34.75,29.944544,0.0
46,2016-12-08,34.75,34.75,34.75,34.75,29.944544,0.0
47,2016-12-09,34.75,34.75,34.75,34.75,29.944544,0.0
48,2016-12-12,34.75,34.75,34.75,34.75,29.944544,0.0
49,2016-12-13,34.75,34.75,34.75,34.75,29.944544,0.0
50,2016-12-14,34.75,34.75,34.75,34.75,29.944544,0.0
51,2016-12-15,34.75,34.75,34.75,34.75,29.944544,0.0
52,2016-12-16,34.75,34.75,34.75,34.75,29.944544,0.0
53,2016-12-19,34.75,34.75,34.75,34.75,29.944544,0.0
54,2016-12-20,34.75,34.75,34.75,34.75,29.944544,0.0
55,2016-12-21,34.75,34.75,34.75,34.75,29.944544,0.0
56,2016-12-22,34.75,34.75,34.75,34.75,29.944544,0.0
57,2016-12-23,34.75,34.75,34.75,34.75,29.944544,0.0
58,2016-12-26,34.75,34.75,34.75,34.75,29.944544,0.0
59,2016-12-27,34.75,34.75,34.75,34.75,29.944544,0.0
60,2016-12-28,34.75,34.75,34.75,34.75,29.944544,0.0
61,2016-12-29,34.75,34.75,34.75,34.75,29.944544,0.0
62,2016-12-30,34.75,34.75,34.75,34.75,29.944544,0.0
63,2017-01-02,34.75,34.75,34.75,34.75,29.944544,0.0
64,2017-01-03,34.75,34.75,34.75,34.75,29.944544,0.0
65,2017-01-04,34.75,34.75,34.75,34.75,29.944544,0.0
66,2017-01-05,34.75,34.75,34.75,34.75,29.944544,0.0
67,2017-01-06,34.75,34.75,34.75,34.75,29.944544,0.0
68,2017-01-09,34.75,34.75,34.75,34.75,29.944544,0.0
69,2017-01-10,34.75,34.75,34.75,34.75,29.944544,0.0
70,2017-01-11,34.75,34.75,34.75,34.75,29.944544,0.0
71,2017-01-12,34.75,34.75,34.75,34.75,29.944544,0.0
72,2017-01-13,34.75,34.75,34.75,34.75,29.944544,0.0
73,2017-01-16,34.75,34.75,34.75,34.75,29.944544,0.0
74,2017-01-17,34.75,34.75,34.75,34.75,29.944544,0.0
75,2017-01-18,34.75,34.75,34.75,34.75,29.944544,0.0
76,2017-01-19,34.75,34.75,34.75,34.75,29.944544,0.0
77,2017-01-20,34.75,34.75,34.75,34.75,29.944544,0.0
78,2017-01-23,34.75,34.75,34.75,34.75,29.944544,0.0
79,2017-01-24,34.75,34.75,34.75,34.75,29.944544,0.0
80,2017-01-25,34.75,34.75,34.75,34.75,29.944544,0.0
81,2017-01-27,34.75,34.75,34.75,34.75,29.944544,0.0
82,2017-01-30,34.75,34.75,34.75,34.75,29.944544,0.0
83,2017-01-31,34.75,34.75,34.75,34.75,29.944544,0.0
84,2017-02-01,34.75,34.75,34.75,34.75,29.944544,0.0
85,2017-02-02,34.75,34.75,34.75,34.75,29.944544,0.0
86,2017-02-03,34.75,34.75,34.75,34.75,29.944544,0.0
87,2017-02-06,34.75,34.75,34.75,34.75,29.944544,0.0
88,2017-02-07,34.75,34.75,34.75,34.75,29.944544,0.0
89,2017-02-08,34.75,34.75,34.75,34.75,29.944544,0.0
90,2017-02-09,34.75,34.75,34.75,34.75,29.944544,0.0
91,2017-02-10,34.75,34.75,34.75,34.75,29.944544,0.0
92,2017-02-13,34.75,34.75,34.75,34.75,29.944544,0.0
93,2017-02-14,34.75,34.75,34.75,34.75,29.944544,0.0
94,2017-02-15,34.75,34.75,34.75,34.75,29.944544,0.0
95,2017-02-16,34.75,34.75,34.75,34.75,29.944544,0.0
96,2017-02-17,34.75,34.75,34.75,34.75,29.944544,0.0
97,2017-02-20,34.75,34.75,34.75,34.75,29.944544,0.0
98,2017-02-21,34.75,34.75,34.75,34.75,29.944544,0.0
99,2017-02-22,34.75,34.75,34.75,34.75,29.944544,0.0
100,2017-02-23,34.75,34.75,34.75,34.75,29.944544,0.0
