,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,133.149994,134.899994,123.599998,131.850006,116.411423,331220.0
1,2016-09-30,128.050003,133.850006,128.050003,131.699997,116.278976,112527.0
2,2016-10-03,131.699997,136.0,131.300003,134.949997,119.148438,149359.0
3,2016-10-04,136.149994,136.949997,133.0,133.850006,118.177246,83224.0
4,2016-10-05,133.850006,143.199997,133.300003,139.850006,123.474693,587448.0
5,2016-10-06,140.899994,144.649994,139.449997,141.449997,124.887321,371036.0
6,2016-10-07,142.850006,142.850006,138.199997,140.800003,124.313454,180710.0
7,2016-10-10,140.899994,142.800003,137.550003,138.300003,122.106194,113577.0
8,2016-10-13,138.149994,138.149994,131.0,134.949997,119.148438,215673.0
9,2016-10-14,135.149994,140.449997,135.100006,139.699997,123.342239,169731.0
10,2016-10-17,140.0,141.899994,137.149994,138.399994,122.194458,142314.0
11,2016-10-18,139.0,140.399994,137.449997,139.199997,122.900787,91851.0
12,2016-10-19,140.449997,142.300003,138.800003,141.449997,124.887321,157715.0
13,2016-10-20,142.449997,148.399994,142.300003,145.800003,128.727982,453613.0
14,2016-10-21,146.0,146.699997,142.0,142.399994,125.726097,171318.0
15,2016-10-24,143.449997,146.0,141.100006,142.5,125.814384,138838.0
16,2016-10-25,142.5,145.0,141.199997,143.649994,126.829735,127610.0
17,2016-10-26,144.949997,144.949997,141.25,142.199997,125.549522,81321.0
18,2016-10-27,142.0,144.899994,140.5,144.0,127.138763,275762.0
19,2016-10-28,144.699997,150.5,142.899994,146.300003,129.169449,290446.0
20,2016-11-01,145.0,146.5,142.699997,145.050003,128.065826,677706.0
21,2016-11-02,141.149994,147.0,141.149994,144.850006,127.889221,722969.0
22,2016-11-03,143.100006,145.0,136.600006,138.100006,121.929596,225292.0
23,2016-11-04,138.100006,141.449997,132.649994,137.75,121.620583,270308.0
24,2016-11-07,139.0,141.699997,137.25,137.899994,121.753021,183693.0
25,2016-11-08,138.399994,139.649994,135.100006,136.850006,120.825974,134278.0
26,2016-11-09,111.0,136.0,111.0,131.449997,116.058258,548956.0
27,2016-11-10,133.25,136.600006,128.649994,130.850006,115.528519,990987.0
28,2016-11-11,129.0,129.0,121.0,122.849998,108.465248,446298.0
29,2016-11-15,124.0,124.900002,108.0,110.0,97.119888,680502.0
30,2016-11-16,112.199997,115.0,110.650002,111.949997,98.841553,620592.0
31,2016-11-17,113.0,113.900002,108.0,108.800003,96.060402,313999.0
32,2016-11-18,108.800003,108.900002,102.400002,106.25,93.808983,300693.0
33,2016-11-21,106.050003,108.0,103.199997,104.199997,91.999008,482285.0
34,2016-11-22,104.599998,108.900002,103.25,106.449997,93.98555,197532.0
35,2016-11-23,108.900002,113.800003,105.150002,113.099998,99.856895,335657.0
36,2016-11-24,111.550003,112.900002,109.349998,110.75,97.782066,125911.0
37,2016-11-25,111.800003,117.400002,111.349998,114.800003,101.357841,262476.0
38,2016-11-28,115.050003,116.150002,111.349998,113.800003,100.474937,199423.0
39,2016-11-29,114.550003,116.75,113.199997,113.900002,100.563225,173352.0
40,2016-11-30,114.949997,116.400002,113.699997,114.25,100.872253,594602.0
41,2016-12-01,115.0,116.449997,113.050003,113.800003,100.474937,147758.0
42,2016-12-02,113.0,113.0,110.0,110.599998,97.649628,110730.0
43,2016-12-05,110.650002,112.400002,109.0,110.0,97.119888,137043.0
44,2016-12-06,111.0,116.849998,111.0,115.650002,102.108307,202171.0
45,2016-12-07,114.0,118.949997,112.949997,117.150002,103.432678,186553.0
46,2016-12-08,119.900002,119.900002,116.0,117.0,103.300247,105846.0
47,2016-12-09,117.0,122.900002,116.5,120.949997,106.78772,216112.0
48,2016-12-12,119.150002,121.349998,119.0,120.550003,106.434563,121275.0
49,2016-12-13,120.300003,123.449997,118.800003,122.849998,108.465248,103675.0
50,2016-12-14,122.0,123.650002,118.0,119.150002,105.198494,164352.0
51,2016-12-15,118.0,119.599998,116.099998,116.550003,102.902924,83442.0
52,2016-12-16,116.0,118.400002,114.699997,115.5,101.975876,86033.0
53,2016-12-19,115.050003,116.0,112.75,113.699997,100.386635,56781.0
54,2016-12-20,114.5,114.5,111.849998,112.5,99.327148,96914.0
55,2016-12-21,113.5,116.0,112.800003,114.25,100.872253,90968.0
56,2016-12-22,113.449997,114.650002,109.349998,110.25,97.340599,125591.0
57,2016-12-23,110.800003,110.800003,105.0,105.449997,93.102638,184069.0
58,2016-12-26,106.150002,106.150002,101.849998,102.650002,90.630516,96620.0
59,2016-12-27,103.0,106.5,103.0,104.75,92.484612,137187.0
60,2016-12-28,105.699997,108.699997,104.5,106.300003,93.853134,107501.0
61,2016-12-29,106.199997,107.699997,105.5,107.25,94.691887,157884.0
62,2016-12-30,107.5,110.900002,107.300003,109.75,96.899162,181319.0
63,2017-01-02,112.400002,113.5,111.0,111.449997,98.400093,210688.0
64,2017-01-03,112.0,114.0,111.150002,112.0,98.885696,363699.0
65,2017-01-04,112.650002,116.400002,112.0,112.349998,99.194717,350617.0
66,2017-01-05,113.199997,113.650002,110.400002,111.449997,98.400093,370332.0
67,2017-01-06,112.400002,112.650002,109.099998,109.599998,96.766716,332783.0
68,2017-01-09,111.0,112.449997,109.650002,111.25,98.223511,101487.0
69,2017-01-10,111.25,114.800003,111.25,113.300003,100.033478,238576.0
70,2017-01-11,113.400002,116.900002,113.400002,115.550003,102.020012,246711.0
71,2017-01-12,115.0,116.599998,114.050003,114.449997,101.04882,117439.0
72,2017-01-13,115.25,115.5,113.599998,114.25,100.872253,38762.0
73,2017-01-16,114.550003,115.699997,113.800003,114.25,100.872253,53014.0
74,2017-01-17,114.849998,115.400002,113.550003,114.199997,100.828094,47540.0
75,2017-01-18,114.0,116.699997,113.349998,114.75,101.313705,362812.0
76,2017-01-19,115.75,115.75,113.150002,113.5,100.21006,72449.0
77,2017-01-20,113.0,114.900002,110.650002,111.800003,98.709122,88035.0
78,2017-01-23,111.300003,115.0,111.300003,114.050003,100.695663,190342.0
79,2017-01-24,114.050003,123.5,111.949997,121.849998,107.582336,469776.0
80,2017-01-25,123.050003,124.800003,122.349998,122.849998,108.465248,313963.0
81,2017-01-27,124.050003,124.650002,121.099998,121.699997,107.449905,251573.0
82,2017-01-30,121.699997,122.0,119.550003,120.25,106.169685,162261.0
83,2017-01-31,120.5,120.5,116.150002,117.400002,103.653404,108649.0
