,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-05-19,73.0,77.849998,71.0,72.550003,60.426441,210956446.0
1,2017-05-22,72.650002,73.449997,69.650002,70.150002,58.427505,19233222.0
2,2017-05-23,69.400002,69.900002,66.550003,68.150002,56.761703,14721869.0
3,2017-05-24,68.5,69.449997,66.400002,66.650002,55.512371,8670873.0
4,2017-05-25,67.099998,72.25,66.949997,70.75,58.927223,13265189.0
5,2017-05-26,71.0,73.25,70.550003,72.949997,60.759594,12062826.0
6,2017-05-29,73.25,74.699997,72.75,73.150002,60.926178,8905003.0
7,2017-05-30,73.25,74.0,71.550003,73.0,60.801235,10410782.0
8,2017-05-31,72.550003,73.650002,71.650002,73.199997,60.967815,5615107.0
9,2017-06-01,73.199997,74.25,72.5,73.0,60.801235,3673826.0
10,2017-06-02,73.400002,73.599998,72.550003,73.0,60.801235,3123069.0
11,2017-06-05,73.0,73.300003,72.0,72.199997,60.13493,1682821.0
12,2017-06-06,72.050003,72.900002,71.300003,71.900002,59.885071,2086019.0
13,2017-06-07,72.0,72.25,71.300003,71.550003,59.593548,1284804.0
14,2017-06-08,71.599998,71.900002,69.849998,70.0,58.302567,2299141.0
15,2017-06-09,70.0,70.699997,69.699997,70.300003,58.552437,1635150.0
16,2017-06-12,70.099998,70.099998,68.550003,68.75,57.261444,2136002.0
17,2017-06-13,69.25,69.400002,68.099998,68.300003,56.886642,2062007.0
18,2017-06-14,68.5,68.699997,68.0,68.199997,56.803352,1103623.0
19,2017-06-15,68.0,70.699997,68.0,69.050003,57.511314,2373038.0
20,2017-06-16,69.400002,69.699997,68.349998,68.550003,57.094864,1394334.0
21,2017-06-19,68.099998,69.050003,67.75,67.900002,56.553486,2181687.0
22,2017-06-20,68.099998,68.349998,67.550003,68.0,56.636776,1856784.0
23,2017-06-21,67.699997,69.0,67.550003,68.050003,56.678421,1745830.0
24,2017-06-22,68.300003,68.300003,67.800003,68.0,56.636776,1433730.0
25,2017-06-23,69.599998,70.0,68.25,68.550003,57.094864,3423901.0
26,2017-06-27,68.800003,68.800003,66.550003,66.800003,55.637306,1902993.0
27,2017-06-28,67.099998,67.199997,66.0,66.099998,55.054276,1737873.0
28,2017-06-29,66.400002,68.150002,66.25,67.849998,56.511845,1866113.0
29,2017-06-30,67.150002,68.099998,66.699997,67.099998,55.887173,1341896.0
30,2017-07-03,67.5,67.900002,67.050003,67.449997,56.17868,1022100.0
31,2017-07-04,67.25,68.849998,67.199997,67.449997,56.17868,1760410.0
32,2017-07-05,67.5,67.900002,67.199997,67.650002,56.345264,710006.0
33,2017-07-06,67.699997,70.349998,67.650002,68.699997,57.219799,3817920.0
34,2017-07-07,68.699997,69.900002,68.300003,69.0,57.469669,2144002.0
35,2017-07-10,69.099998,69.650002,69.0,69.5,57.88612,375350.0
36,2017-07-11,69.75,79.800003,69.599998,78.449997,65.340515,52983772.0
37,2017-07-12,81.0,92.650002,81.0,90.050003,75.00209,104720139.0
38,2017-07-13,92.300003,99.75,92.0,97.699997,81.373726,100252333.0
39,2017-07-14,99.199997,102.300003,88.550003,90.699997,75.543465,106125913.0
40,2017-07-17,90.5,93.900002,86.800003,89.650002,74.66893,50591166.0
41,2017-07-18,88.0,91.5,86.550003,87.0,72.461761,18910056.0
42,2017-07-19,87.75,89.150002,86.599998,87.199997,72.628334,10858237.0
43,2017-07-20,87.75,91.449997,86.199997,90.25,75.168671,29764568.0
44,2017-07-21,90.75,91.650002,87.75,88.650002,73.836037,12588587.0
