,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,29.200001,29.200001,26.200001,26.5,26.5,292977.0
1,2016-09-30,26.5,27.299999,26.25,27.15,27.15,165790.0
2,2016-10-03,27.549999,27.700001,27.25,27.450001,27.450001,222484.0
3,2016-10-04,27.6,28.1,27.4,27.6,27.6,115337.0
4,2016-10-05,27.65,28.25,27.5,27.75,27.75,148427.0
5,2016-10-06,27.85,27.85,26.65,26.9,26.9,363212.0
6,2016-10-07,27.1,27.4,26.799999,27.1,27.1,64736.0
7,2016-10-10,27.200001,27.299999,26.799999,26.9,26.9,59352.0
8,2016-10-13,26.65,27.0,26.549999,26.6,26.6,157331.0
9,2016-10-14,26.6,27.950001,26.6,27.700001,27.700001,343837.0
10,2016-10-17,27.75,27.75,26.9,27.0,27.0,186038.0
11,2016-10-18,27.6,28.450001,27.200001,28.299999,28.299999,692817.0
12,2016-10-19,28.049999,30.700001,28.049999,29.700001,29.700001,863913.0
13,2016-10-20,29.9,30.75,29.0,29.35,29.35,558025.0
14,2016-10-21,29.4,30.4,28.75,30.1,30.1,622289.0
15,2016-10-24,30.799999,31.4,30.5,30.700001,30.700001,954033.0
16,2016-10-25,30.5,30.9,30.1,30.200001,30.200001,419347.0
17,2016-10-26,30.4,30.4,29.549999,29.6,29.6,215782.0
18,2016-10-27,29.85,32.099998,29.549999,31.0,31.0,1098511.0
19,2016-10-28,31.0,31.25,30.049999,30.200001,30.200001,197705.0
20,2016-11-01,32.450001,35.900002,32.099998,33.700001,33.700001,3202275.0
21,2016-11-02,33.0,34.200001,32.099998,33.150002,33.150002,1089823.0
22,2016-11-03,33.450001,34.299999,31.799999,32.150002,32.150002,471204.0
23,2016-11-04,32.799999,32.799999,30.25,30.65,30.65,308010.0
24,2016-11-07,31.25,31.5,30.799999,31.35,31.35,179191.0
25,2016-11-08,31.75,32.400002,31.1,31.200001,31.200001,229572.0
26,2016-11-09,27.0,30.5,27.0,30.049999,30.049999,375454.0
27,2016-11-10,31.4,35.5,30.700001,34.099998,34.099998,3509498.0
28,2016-11-11,33.400002,34.299999,32.25,32.700001,32.700001,650280.0
29,2016-11-15,32.400002,32.400002,29.700001,30.049999,30.049999,405911.0
30,2016-11-16,30.65,31.1,29.6,29.9,29.9,195868.0
31,2016-11-17,30.0,30.1,28.450001,29.200001,29.200001,225602.0
32,2016-11-18,29.5,29.5,28.65,29.1,29.1,120487.0
33,2016-11-21,29.700001,29.85,29.0,29.1,29.1,159388.0
34,2016-11-22,29.25,29.5,28.700001,28.950001,28.950001,61393.0
35,2016-11-23,29.35,29.700001,28.950001,29.200001,29.200001,61464.0
36,2016-11-24,29.4,31.049999,29.25,29.6,29.6,417164.0
37,2016-11-25,29.799999,30.9,29.5,30.4,30.4,179141.0
38,2016-11-28,31.0,31.85,30.0,31.5,31.5,295070.0
39,2016-11-29,33.75,34.599998,32.799999,33.5,33.5,956763.0
40,2016-11-30,33.799999,34.650002,33.099998,34.049999,34.049999,408947.0
41,2016-12-01,34.099998,37.599998,32.849998,36.599998,36.599998,2011934.0
42,2016-12-02,36.099998,37.950001,35.700001,36.099998,36.099998,1093997.0
43,2016-12-05,36.650002,38.5,36.25,37.150002,37.150002,553456.0
44,2016-12-06,37.900002,38.349998,36.299999,36.799999,36.799999,387708.0
