,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-03-26,73.949997,81.0,72.900002,75.199997,75.199997,51421860
1,2021-03-30,75.949997,77.900002,69.650002,70.849998,70.849998,11091947
2,2021-03-31,71.75,71.75,67.650002,68.099998,68.099998,4659613
3,2021-04-01,68.599998,72.75,68.199997,71.400002,71.400002,7403570
4,2021-04-05,71.5,71.5,68.550003,69.900002,69.900002,2399032
5,2021-04-06,70.300003,71.25,69.099998,70.349998,70.349998,2379469
6,2021-04-07,70.550003,70.900002,69.800003,69.900002,69.900002,1625067
7,2021-04-08,71.900002,75.0,71.400002,72.849998,72.849998,4824848
8,2021-04-09,73.0,73.099998,70.449997,71.0,71.0,2357516
9,2021-04-12,70.900002,70.900002,68.0,68.349998,68.349998,2042113
10,2021-04-13,69.0,69.849998,68.050003,69.300003,69.300003,1439847
11,2021-04-15,69.0,69.849998,68.550003,69.0,69.0,896321
12,2021-04-16,69.0,69.699997,68.800003,68.900002,68.900002,909629
13,2021-04-19,67.800003,67.800003,65.699997,66.849998,66.849998,1228866
14,2021-04-20,67.199997,68.349998,66.800003,67.150002,67.150002,797720
15,2021-04-22,67.0,67.150002,66.400002,66.699997,66.699997,851612
16,2021-04-23,66.599998,66.699997,65.5,65.599998,65.599998,1823091
17,2021-04-26,65.900002,67.0,63.75,63.849998,63.849998,2193105
18,2021-04-27,64.0,64.800003,61.200001,61.400002,61.400002,3532919
19,2021-04-28,61.549999,62.900002,60.599998,61.650002,61.650002,4057145
20,2021-04-29,62.0,62.849998,61.099998,61.25,61.25,1938409
21,2021-04-30,61.0,61.200001,59.75,59.900002,59.900002,2347572
22,2021-05-03,59.700001,59.700001,58.549999,58.650002,58.650002,1696511
23,2021-05-04,58.650002,60.700001,58.099998,58.25,58.25,2298017
24,2021-05-05,58.5,59.5,58.0,58.099998,58.099998,1580604
25,2021-05-06,58.450001,58.799999,56.599998,56.700001,56.700001,2238052
26,2021-05-07,57.0,59.650002,56.299999,58.799999,58.799999,4763134
27,2021-05-10,59.400002,62.0,59.200001,61.5,61.5,3883522
28,2021-05-11,61.5,64.900002,61.0,63.599998,63.599998,4982475
29,2021-05-12,64.449997,64.900002,61.799999,62.349998,62.349998,2592651
30,2021-05-14,63.0,63.950001,60.200001,60.799999,60.799999,2581690
31,2021-05-17,61.200001,61.700001,60.299999,60.75,60.75,1084150
32,2021-05-18,60.75,61.450001,60.75,61.25,61.25,1192298
33,2021-05-19,61.25,61.599998,60.849998,61.200001,61.200001,1122948
34,2021-05-20,61.700001,61.900002,59.799999,60.099998,60.099998,2434240
35,2021-05-21,61.099998,64.0,59.849998,61.900002,61.900002,6130052
36,2021-05-24,62.049999,63.650002,61.700001,63.0,63.0,3276413
37,2021-05-25,64.0,68.400002,63.5,67.849998,67.849998,12120772
38,2021-05-26,69.0,72.400002,69.0,71.199997,71.199997,8567087
39,2021-05-27,71.800003,72.699997,68.150002,68.5,68.5,7219130
