,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,376.200012,376.25,344.100006,361.950012,353.408264,20021.0
1,2016-09-30,345.0,375.0,345.0,370.799988,362.049377,12195.0
2,2016-10-03,371.0,377.850006,365.149994,369.299988,360.584778,48753.0
3,2016-10-04,369.299988,369.899994,354.100006,368.049988,359.364319,33902.0
4,2016-10-05,367.399994,375.899994,362.100006,365.149994,356.532745,13576.0
5,2016-10-06,362.149994,369.0,362.149994,366.549988,357.899719,5430.0
6,2016-10-07,365.100006,370.0,362.100006,368.049988,359.364319,33979.0
7,2016-10-10,368.200012,368.25,364.0,365.200012,356.581604,1134.0
8,2016-10-13,362.5,365.0,355.049988,364.799988,356.19101,10226.0
9,2016-10-14,369.850006,369.850006,358.299988,365.049988,356.43512,15258.0
10,2016-10-17,361.799988,368.5,355.25,364.899994,356.288666,30736.0
11,2016-10-18,360.850006,366.0,360.049988,364.950012,356.337524,41942.0
12,2016-10-19,364.950012,365.0,360.200012,363.0,354.433441,5381.0
13,2016-10-20,364.950012,365.0,360.0,361.5,352.968842,3220.0
14,2016-10-21,364.200012,365.0,359.350006,364.799988,356.19101,3714.0
15,2016-10-24,358.0,398.799988,358.0,390.350006,381.138062,137747.0
16,2016-10-25,390.350006,395.899994,381.700012,390.700012,381.479797,5624.0
17,2016-10-26,385.0,387.0,380.100006,383.549988,374.498535,272523.0
18,2016-10-27,380.899994,381.0,370.0,372.299988,363.513977,519805.0
19,2016-10-28,380.200012,383.700012,370.200012,375.5,366.638489,4040.0
20,2016-11-01,376.049988,389.700012,374.75,380.75,371.764618,6191.0
21,2016-11-02,380.0,382.149994,375.25,375.950012,367.07785,3819.0
22,2016-11-03,374.299988,380.0,367.0,370.5,361.756531,4560.0
23,2016-11-04,367.0,380.149994,365.0,375.0,366.150269,16403.0
24,2016-11-07,375.0,383.0,372.600006,375.200012,366.345551,1371.0
25,2016-11-08,375.0,376.75,369.049988,374.600006,365.759766,4171.0
26,2016-11-09,322.450012,362.799988,322.399994,361.700012,353.164185,4249.0
27,2016-11-10,367.200012,389.0,367.200012,375.100006,366.247955,1858.0
28,2016-11-11,369.75,374.0,356.399994,368.200012,359.510773,15800.0
