,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,31.5,31.5,29.799999,30.049999,30.049999,162314.0
1,2016-09-30,30.0,30.450001,29.799999,30.15,30.15,79455.0
2,2016-10-03,30.1,31.0,30.1,30.6,30.6,63716.0
3,2016-10-04,31.700001,31.700001,30.5,31.200001,31.200001,158151.0
4,2016-10-05,31.5,31.5,31.1,31.25,31.25,78134.0
5,2016-10-06,31.5,31.5,30.700001,30.799999,30.799999,65600.0
6,2016-10-07,30.799999,30.950001,30.0,30.549999,30.549999,91189.0
7,2016-10-10,31.1,31.200001,30.6,30.85,30.85,54348.0
8,2016-10-13,30.85,31.200001,30.6,30.85,30.85,138115.0
9,2016-10-14,31.0,31.1,30.4,30.5,30.5,58079.0
10,2016-10-17,31.0,31.0,29.799999,29.950001,29.950001,135166.0
11,2016-10-18,30.5,30.6,30.0,30.4,30.4,63104.0
12,2016-10-19,30.4,30.75,30.25,30.35,30.35,51600.0
13,2016-10-20,30.65,31.0,30.4,30.700001,30.700001,84130.0
14,2016-10-21,30.700001,30.9,30.25,30.450001,30.450001,58154.0
15,2016-10-24,30.75,30.950001,30.65,30.799999,30.799999,64665.0
16,2016-10-25,30.799999,30.950001,30.5,30.6,30.6,25128.0
17,2016-10-26,30.6,30.799999,30.200001,30.700001,30.700001,70158.0
18,2016-10-27,30.950001,30.950001,30.4,30.75,30.75,67727.0
19,2016-10-28,30.5,30.9,30.4,30.75,30.75,69236.0
20,2016-11-01,30.6,31.200001,28.799999,29.200001,29.200001,457602.0
21,2016-11-02,29.549999,29.9,29.200001,29.549999,29.549999,134153.0
22,2016-11-03,29.75,29.85,29.450001,29.6,29.6,69548.0
23,2016-11-04,29.5,29.799999,28.9,29.1,29.1,88131.0
24,2016-11-07,28.799999,29.5,28.450001,28.950001,28.950001,146067.0
25,2016-11-08,29.4,29.4,28.450001,28.65,28.65,91196.0
26,2016-11-09,27.950001,28.6,23.200001,28.299999,28.299999,317210.0
27,2016-11-10,29.0,31.450001,29.0,30.950001,30.950001,640986.0
28,2016-11-11,31.0,32.450001,30.049999,30.35,30.35,442118.0
29,2016-11-15,31.0,31.5,30.35,30.65,30.65,299215.0
30,2016-11-16,31.200001,31.25,28.799999,29.6,29.6,215116.0
31,2016-11-17,29.9,30.4,29.65,29.9,29.9,80436.0
32,2016-11-18,30.0,30.35,29.35,29.799999,29.799999,92235.0
33,2016-11-21,29.799999,30.299999,28.5,29.049999,29.049999,208211.0
34,2016-11-22,29.35,29.35,28.4,29.0,29.0,99421.0
35,2016-11-23,28.700001,29.15,28.549999,28.700001,28.700001,73276.0
36,2016-11-24,28.75,29.4,28.6,29.0,29.0,42467.0
37,2016-11-25,29.25,29.5,28.9,29.35,29.35,45001.0
38,2016-11-28,28.9,29.700001,28.799999,29.299999,29.299999,63391.0
39,2016-11-29,29.299999,29.6,29.15,29.299999,29.299999,31248.0
40,2016-11-30,29.299999,29.85,29.299999,29.700001,29.700001,39567.0
41,2016-12-01,29.700001,29.950001,29.15,29.35,29.35,64380.0
42,2016-12-02,29.299999,29.9,29.049999,29.15,29.15,59660.0
43,2016-12-05,29.200001,29.950001,29.1,29.799999,29.799999,69681.0
44,2016-12-06,29.5,30.1,29.35,29.549999,29.549999,46031.0
45,2016-12-07,29.799999,29.950001,29.200001,29.4,29.4,75084.0
46,2016-12-08,29.299999,29.700001,29.299999,29.4,29.4,47840.0
47,2016-12-09,29.5,29.700001,29.4,29.549999,29.549999,64289.0
48,2016-12-12,29.5,29.700001,29.200001,29.4,29.4,25129.0
49,2016-12-13,29.700001,29.700001,29.1,29.4,29.4,38585.0
50,2016-12-14,29.5,30.049999,29.1,29.35,29.35,42740.0
51,2016-12-15,29.5,29.9,29.049999,29.25,29.25,52405.0
52,2016-12-16,29.549999,29.549999,29.1,29.200001,29.200001,43984.0
53,2016-12-19,29.299999,32.0,29.1,30.950001,30.950001,213308.0
54,2016-12-20,31.25,31.25,29.049999,29.299999,29.299999,281716.0
55,2016-12-21,29.299999,29.75,29.0,29.15,29.15,57243.0
56,2016-12-22,29.15,29.450001,28.700001,28.9,28.9,44131.0
57,2016-12-23,28.5,29.15,28.5,29.0,29.0,31188.0
58,2016-12-26,29.0,29.15,28.200001,28.299999,28.299999,50614.0
59,2016-12-27,28.25,28.6,28.1,28.450001,28.450001,43596.0
60,2016-12-28,28.5,29.25,28.200001,28.450001,28.450001,46182.0
61,2016-12-29,28.200001,28.9,28.200001,28.75,28.75,16377.0
62,2016-12-30,28.75,29.200001,28.549999,28.65,28.65,98596.0
63,2017-01-02,28.950001,29.200001,28.700001,29.049999,29.049999,30565.0
64,2017-01-03,29.35,29.4,29.1,29.15,29.15,31465.0
65,2017-01-04,29.15,29.4,29.1,29.15,29.15,16977.0
66,2017-01-05,29.0,29.6,29.0,29.25,29.25,47533.0
67,2017-01-06,29.549999,29.700001,29.1,29.200001,29.200001,52331.0
68,2017-01-09,29.450001,29.5,29.0,29.35,29.35,45915.0
69,2017-01-10,29.5,29.549999,28.5,29.049999,29.049999,82590.0
70,2017-01-11,29.1,29.700001,29.1,29.6,29.6,128626.0
71,2017-01-12,29.700001,29.700001,29.25,29.5,29.5,54179.0
72,2017-01-13,29.9,29.9,29.35,29.450001,29.450001,44454.0
73,2017-01-16,29.450001,30.700001,29.450001,30.1,30.1,198716.0
74,2017-01-17,30.200001,30.75,30.0,30.15,30.15,51971.0
75,2017-01-18,30.200001,30.5,30.0,30.049999,30.049999,33967.0
76,2017-01-19,30.5,30.5,29.700001,29.950001,29.950001,29098.0
77,2017-01-20,29.950001,30.299999,29.200001,29.35,29.35,56592.0
78,2017-01-23,29.5,29.9,29.1,29.25,29.25,42702.0
79,2017-01-24,29.200001,29.700001,29.200001,29.299999,29.299999,37334.0
80,2017-01-25,29.700001,29.700001,29.35,29.549999,29.549999,41624.0
81,2017-01-27,29.75,30.299999,29.5,29.799999,29.799999,247127.0
82,2017-01-30,31.299999,32.5,30.549999,32.299999,32.299999,1039240.0
83,2017-01-31,32.650002,33.599998,32.200001,33.150002,33.150002,604202.0
84,2017-02-01,33.099998,33.200001,32.049999,32.849998,32.849998,380956.0
85,2017-02-02,32.900002,35.299999,32.799999,34.450001,34.450001,1273872.0
86,2017-02-03,34.950001,35.700001,31.299999,34.650002,34.650002,849608.0
87,2017-02-06,35.5,35.599998,34.25,34.700001,34.700001,347859.0
88,2017-02-07,35.200001,35.450001,34.75,35.299999,35.299999,644256.0
89,2017-02-08,35.400002,35.599998,34.0,34.549999,34.549999,444953.0
90,2017-02-09,34.900002,35.0,33.099998,33.450001,33.450001,468261.0
91,2017-02-10,33.75,34.0,33.549999,33.700001,33.700001,210143.0
92,2017-02-13,34.049999,34.200001,33.200001,33.299999,33.299999,156474.0
93,2017-02-14,33.75,33.75,33.049999,33.349998,33.349998,85958.0
94,2017-02-15,33.200001,33.5,32.5,32.599998,32.599998,87966.0
95,2017-02-16,33.549999,33.75,32.5,32.900002,32.900002,198703.0
96,2017-02-17,33.200001,33.5,32.5,32.650002,32.650002,88766.0
97,2017-02-20,32.900002,33.25,32.299999,32.549999,32.549999,235254.0
98,2017-02-21,32.799999,38.700001,32.599998,37.099998,37.099998,4367966.0
99,2017-02-22,37.150002,37.150002,34.400002,34.849998,34.849998,990826.0
100,2017-02-23,34.75,35.599998,34.200001,34.400002,34.400002,602339.0
101,2017-02-27,34.599998,34.900002,34.0,34.25,34.25,200515.0
102,2017-02-28,34.599998,34.799999,34.049999,34.25,34.25,163906.0
103,2017-03-01,34.799999,35.0,34.400002,34.549999,34.549999,238988.0
104,2017-03-02,34.849998,34.950001,33.75,33.849998,33.849998,194539.0
105,2017-03-03,34.0,34.0,33.450001,33.700001,33.700001,101069.0
106,2017-03-06,33.700001,33.950001,33.299999,33.549999,33.549999,146198.0
107,2017-03-07,33.700001,33.700001,33.200001,33.450001,33.450001,109125.0
108,2017-03-08,33.450001,33.5,32.799999,32.900002,32.900002,157312.0
109,2017-03-09,33.0,33.150002,32.549999,32.650002,32.650002,81812.0
110,2017-03-10,33.0,33.099998,32.299999,32.400002,32.400002,132069.0
111,2017-03-14,33.0,33.0,32.150002,32.299999,32.299999,127450.0
112,2017-03-15,32.299999,32.900002,32.150002,32.299999,32.299999,239029.0
113,2017-03-16,32.599998,32.700001,32.299999,32.400002,32.400002,150227.0
114,2017-03-17,32.700001,32.700001,32.25,32.450001,32.450001,140644.0
115,2017-03-20,32.75,32.849998,32.299999,32.549999,32.549999,103481.0
116,2017-03-21,32.5,34.25,32.5,33.0,33.0,583625.0
117,2017-03-22,33.400002,35.950001,33.25,34.200001,34.200001,3359656.0
118,2017-03-23,34.400002,34.450001,33.549999,33.650002,33.650002,293235.0
119,2017-03-24,33.900002,34.950001,33.450001,34.200001,34.200001,563007.0
120,2017-03-27,34.049999,34.799999,33.599998,33.700001,33.700001,230096.0
121,2017-03-28,33.700001,34.200001,33.5,33.549999,33.549999,118089.0
122,2017-03-29,33.599998,33.900002,33.200001,33.5,33.5,206657.0
123,2017-03-30,33.799999,34.099998,33.400002,33.5,33.5,225104.0
124,2017-03-31,33.5,34.349998,33.299999,33.650002,33.650002,338146.0
125,2017-04-03,33.5,34.099998,33.5,33.650002,33.650002,143816.0
126,2017-04-05,33.650002,35.25,33.549999,34.849998,34.849998,718877.0
127,2017-04-06,34.5,35.450001,34.299999,34.349998,34.349998,296623.0
128,2017-04-07,34.349998,35.700001,34.099998,34.599998,34.599998,1007595.0
129,2017-04-10,34.900002,35.599998,34.549999,34.799999,34.799999,319117.0
130,2017-04-11,34.549999,36.099998,34.549999,35.900002,35.900002,859406.0
131,2017-04-12,35.950001,36.299999,34.900002,35.200001,35.200001,347084.0
132,2017-04-13,35.200001,35.450001,34.5,34.650002,34.650002,249669.0
133,2017-04-17,34.75,35.0,34.200001,34.650002,34.650002,133655.0
134,2017-04-18,34.650002,35.549999,34.099998,34.299999,34.299999,304841.0
135,2017-04-19,34.049999,34.5,33.299999,33.799999,33.799999,132555.0
136,2017-04-20,33.950001,34.599998,33.400002,33.75,33.75,260069.0
137,2017-04-21,34.0,34.5,33.700001,33.849998,33.849998,159655.0
138,2017-04-24,34.0,34.900002,33.849998,34.549999,34.549999,411781.0
139,2017-04-25,34.799999,35.150002,34.5,34.599998,34.599998,374231.0
140,2017-04-26,34.900002,35.25,34.299999,34.650002,34.650002,334992.0
141,2017-04-27,34.5,34.849998,34.349998,34.599998,34.599998,149402.0
142,2017-04-28,34.75,37.049999,34.549999,36.450001,36.450001,2104316.0
143,2017-05-02,36.700001,38.099998,36.700001,37.25,37.25,1365827.0
144,2017-05-03,37.450001,38.650002,36.75,38.0,38.0,1328615.0
145,2017-05-04,38.599998,40.75,36.849998,37.599998,37.599998,7795409.0
146,2017-05-05,37.400002,37.450001,35.0,35.299999,35.299999,2196319.0
147,2017-05-08,35.150002,36.349998,35.150002,36.0,36.0,637702.0
148,2017-05-09,36.200001,36.5,35.400002,35.650002,35.650002,559011.0
149,2017-05-10,36.0,36.200001,35.25,35.450001,35.450001,298555.0
150,2017-05-11,35.849998,35.849998,35.0,35.099998,35.099998,334331.0
151,2017-05-12,35.049999,35.299999,33.799999,33.950001,33.950001,379941.0
