,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-08-21,106.449997,111.75,106.449997,111.75,111.75,807716.0
1,2020-08-24,117.300003,117.300003,117.300003,117.300003,117.300003,56263.0
2,2020-08-25,123.150002,123.150002,123.150002,123.150002,123.150002,45326.0
3,2020-08-26,129.300003,129.300003,117.0,124.0,124.0,3240477.0
4,2020-08-27,123.0,123.0,117.800003,117.800003,117.800003,771809.0
5,2020-08-28,111.949997,117.0,111.949997,111.949997,111.949997,820058.0
6,2020-08-31,107.199997,107.300003,106.400002,106.400002,106.400002,519749.0
7,2020-09-01,101.099998,110.5,101.099998,105.699997,105.699997,803353.0
8,2020-09-02,101.099998,110.0,101.099998,106.449997,106.449997,181669.0
9,2020-09-03,107.0,111.75,103.099998,111.75,111.75,849547.0
10,2020-09-04,107.0,120.900002,105.300003,115.25,115.25,1513362.0
11,2020-09-07,115.650002,118.699997,112.650002,113.349998,113.349998,740174.0
12,2020-09-08,114.599998,116.25,107.449997,110.0,110.0,845613.0
13,2020-09-09,106.0,114.949997,105.599998,111.449997,111.449997,798343.0
14,2020-09-10,113.25,115.949997,111.0,111.699997,111.699997,731283.0
15,2020-09-11,120.449997,133.949997,120.300003,131.550003,131.550003,11027186.0
16,2020-09-14,127.0,129.350006,120.150002,120.900002,120.900002,3503925.0
17,2020-09-15,122.0,125.400002,117.300003,118.75,118.75,1262738.0
18,2020-09-16,119.900002,122.0,116.900002,120.699997,120.699997,749709.0
19,2020-09-17,120.0,121.349998,116.099998,117.699997,117.699997,616594.0
20,2020-09-18,118.599998,120.900002,115.25,116.849998,116.849998,1105400.0
21,2020-09-21,117.949997,119.300003,107.849998,110.900002,110.900002,1758904.0
22,2020-09-22,110.949997,112.400002,107.0,109.050003,109.050003,574753.0
23,2020-09-23,110.900002,115.900002,108.550003,110.949997,110.949997,1230845.0
24,2020-09-24,110.0,112.949997,108.0,108.75,108.75,388647.0
25,2020-09-25,110.099998,112.0,109.25,109.900002,109.900002,473902.0
26,2020-09-28,111.550003,119.5,111.349998,116.550003,116.550003,5291935.0
27,2020-09-29,117.0,117.5,111.75,113.449997,113.449997,1304995.0
28,2020-09-30,113.0,117.900002,112.75,115.349998,115.349998,1287726.0
29,2020-10-01,116.699997,119.099998,114.349998,115.900002,115.900002,1655056.0
30,2020-10-05,116.050003,117.650002,113.599998,114.0,114.0,319039.0
31,2020-10-06,114.150002,117.300003,114.099998,115.550003,115.550003,440115.0
32,2020-10-07,115.75,115.75,111.949997,114.300003,114.300003,407920.0
33,2020-10-08,115.449997,115.900002,112.099998,112.650002,112.650002,550754.0
34,2020-10-09,113.150002,113.599998,109.550003,110.699997,110.699997,545283.0
35,2020-10-12,111.25,112.800003,107.599998,108.550003,108.550003,415407.0
36,2020-10-13,109.599998,113.400002,108.800003,112.650002,112.650002,547097.0
37,2020-10-14,113.599998,113.599998,109.5,109.949997,109.949997,305686.0
38,2020-10-15,110.0,114.5,106.300003,107.150002,107.150002,479087.0
39,2020-10-16,107.5,109.150002,106.599998,108.099998,108.099998,170235.0
40,2020-10-19,108.699997,109.800003,107.0,108.599998,108.599998,216811.0
41,2020-10-20,108.800003,108.900002,106.550003,106.949997,106.949997,156582.0
42,2020-10-21,106.75,108.099998,105.800003,106.199997,106.199997,157747.0
43,2020-10-22,106.550003,107.0,104.400002,105.650002,105.650002,265310.0
44,2020-10-23,106.449997,106.5,104.800003,105.300003,105.300003,244630.0
45,2020-10-26,105.050003,106.599998,104.0,105.199997,105.199997,240894.0
46,2020-10-27,106.400002,107.400002,104.650002,106.050003,106.050003,294750.0
47,2020-10-28,106.25,106.650002,104.0,104.550003,104.550003,152173.0
48,2020-10-29,104.099998,105.099998,102.349998,103.650002,103.650002,173696.0
