,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,204.975006,209.449997,190.5,193.5,187.016052,12154.0
1,2016-09-30,190.5,196.475006,177.800003,190.225006,183.850815,1512.0
2,2016-10-03,197.850006,197.850006,190.149994,191.550003,185.131409,1768.0
3,2016-10-04,193.0,197.5,190.824997,191.449997,185.034744,4324.0
4,2016-10-05,191.274994,194.925003,189.0,189.550003,183.198425,7428.0
5,2016-10-06,192.524994,193.5,187.5,188.25,181.941971,1876.0
6,2016-10-07,194.899994,194.899994,187.5,188.074997,181.772842,2658.0
7,2016-10-10,190.0,192.5,186.75,189.324997,182.980957,2024.0
8,2016-10-13,187.625,194.0,187.625,191.0,184.599854,12382.0
9,2016-10-14,192.5,192.5,187.5,189.25,182.908463,2634.0
10,2016-10-17,188.649994,188.649994,185.125,186.449997,180.202301,4240.0
11,2016-10-18,189.449997,195.875,187.0,193.875,187.378494,12334.0
12,2016-10-19,191.774994,200.949997,191.75,196.550003,189.963867,15800.0
13,2016-10-20,199.024994,208.0,198.975006,206.75,199.822052,18474.0
14,2016-10-21,209.850006,212.5,206.024994,209.375,202.3591,21470.0
15,2016-10-24,210.0,213.399994,200.574997,208.875,201.875839,20748.0
16,2016-10-25,210.0,210.024994,206.0,209.449997,202.43158,11540.0
17,2016-10-26,205.050003,209.475006,202.0,206.75,199.822052,6764.0
18,2016-10-27,205.0,207.375,201.050003,201.699997,194.941284,3100.0
19,2016-10-28,203.5,203.975006,197.524994,199.850006,193.15329,1754.0
20,2016-11-01,207.5,207.5,201.0,201.524994,194.772125,3112.0
21,2016-11-02,202.050003,203.75,195.800003,198.824997,192.162598,1596.0
22,2016-11-03,202.050003,203.0,198.050003,199.25,192.573395,1496.0
23,2016-11-04,202.0,202.0,191.649994,192.600006,186.146225,1072.0
24,2016-11-07,198.0,202.024994,193.175003,193.824997,187.33017,3660.0
25,2016-11-08,198.649994,213.5,195.0,202.675003,195.883621,15834.0
26,2016-11-09,190.0,202.5,185.0,199.274994,192.597519,6092.0
27,2016-11-10,195.0,201.0,190.0,196.149994,189.57724,1192.0
28,2016-11-11,190.75,198.850006,188.024994,195.675003,189.601471,3872.0
29,2016-11-15,197.5,197.5,184.550003,189.149994,183.279007,3858.0
30,2016-11-16,185.0,193.5,184.550003,190.800003,184.877792,1816.0
31,2016-11-17,192.5,194.5,184.0,189.074997,183.206329,2642.0
32,2016-11-18,185.024994,190.125,183.0,185.024994,179.282043,1644.0
33,2016-11-21,182.5,187.524994,176.0,177.324997,171.821045,3468.0
34,2016-11-22,176.0,180.175003,172.25,177.225006,171.724152,2584.0
35,2016-11-23,182.600006,189.475006,175.600006,180.024994,174.437225,12952.0
36,2016-11-24,175.024994,192.475006,175.024994,190.5,184.587112,2116.0
37,2016-11-25,191.5,191.5,186.0,189.824997,183.933044,2382.0
38,2016-11-28,187.550003,192.475006,187.5,188.25,182.406952,404.0
39,2016-11-29,185.024994,198.0,183.0,195.024994,188.971649,5378.0
40,2016-11-30,190.0,202.5,188.600006,198.5,192.338806,3920.0
41,2016-12-01,195.0,198.449997,191.125,193.149994,187.154831,2642.0
42,2016-12-02,186.774994,196.899994,186.5,188.074997,182.237381,1704.0
43,2016-12-05,191.475006,191.5,183.75,188.75,182.891434,1658.0
44,2016-12-06,185.0,199.949997,183.0,187.625,181.801331,956.0
45,2016-12-07,186.199997,190.0,186.199997,187.524994,181.704453,316.0
46,2016-12-08,185.225006,192.524994,185.199997,190.550003,184.635559,446.0
47,2016-12-09,190.024994,190.024994,186.5,187.300003,181.48642,3822.0
48,2016-12-12,191.925003,191.925003,187.5,190.800003,184.877792,228.0
49,2016-12-13,185.0,201.875,183.25,199.475006,193.283539,17434.0
50,2016-12-14,197.5,199.25,195.0,197.425003,191.297165,4430.0
51,2016-12-15,201.0,201.0,193.050003,200.0,193.792252,2044.0
52,2016-12-16,198.0,200.0,197.524994,199.699997,193.501541,10976.0
53,2016-12-19,200.0,202.0,195.850006,201.399994,195.148788,2488.0
54,2016-12-20,196.975006,201.425003,196.975006,199.975006,193.768021,6022.0
55,2016-12-21,204.875,204.875,193.524994,196.949997,190.836899,5774.0
56,2016-12-22,200.0,200.0,191.149994,193.725006,187.712006,410.0
57,2016-12-23,190.550003,194.0,190.550003,192.050003,186.088989,146.0
58,2016-12-26,193.475006,193.475006,191.0,191.0,185.071594,34.0
59,2016-12-27,196.899994,197.0,189.550003,189.75,183.860397,368.0
60,2016-12-28,192.5,196.925003,192.5,196.050003,189.964844,480.0
61,2016-12-29,199.5,199.5,186.574997,188.0,182.164703,4394.0
62,2016-12-30,191.699997,192.5,188.050003,190.449997,184.538651,3470.0
63,2017-01-02,195.0,195.449997,190.0,191.800003,185.846756,1180.0
64,2017-01-03,192.5,193.925003,188.5,189.300003,183.424362,2622.0
65,2017-01-04,191.875,194.350006,191.5,191.625,185.677185,98.0
66,2017-01-05,190.074997,200.0,188.574997,199.949997,193.74379,4940.0
67,2017-01-06,195.0,199.5,190.524994,192.75,186.767258,5038.0
68,2017-01-09,191.675003,196.975006,186.5,192.574997,186.597702,3638.0
69,2017-01-10,194.649994,195.25,188.149994,191.649994,185.701401,2396.0
70,2017-01-11,194.0,197.0,191.125,195.074997,189.020081,7122.0
71,2017-01-12,200.0,200.0,192.5,195.899994,189.819489,360.0
72,2017-01-13,192.5,210.0,191.25,202.100006,195.827057,4186.0
73,2017-01-16,198.0,210.0,198.0,203.600006,197.280502,1896.0
74,2017-01-17,207.0,207.0,201.5,203.225006,196.91713,5016.0
75,2017-01-18,204.975006,216.875,204.975006,212.0,205.419769,9392.0
76,2017-01-19,212.449997,212.449997,205.0,207.75,201.301666,1730.0
77,2017-01-20,214.899994,214.899994,200.0,204.699997,198.346359,3666.0
78,2017-01-23,209.425003,209.425003,201.5,202.524994,196.238861,766.0
79,2017-01-24,201.524994,204.0,200.25,201.0,194.7612,890.0
80,2017-01-25,205.475006,205.5,196.574997,197.600006,191.466721,2346.0
81,2017-01-27,199.5,204.5,198.0,202.5,196.21463,494.0
82,2017-01-30,203.75,203.75,199.5,199.899994,193.695328,4698.0
83,2017-01-31,209.0,224.5,208.5,218.0,211.233551,132524.0
84,2017-02-01,221.0,232.0,221.0,228.675003,221.577209,51232.0
85,2017-02-02,230.0,269.5,230.0,257.975006,249.967773,255550.0
86,2017-02-03,259.950012,270.0,253.5,256.575012,248.611237,83152.0
87,2017-02-06,256.0,258.924988,236.5,238.199997,230.806549,74610.0
88,2017-02-07,249.5,257.5,247.0,255.675003,247.739136,431250.0
89,2017-02-08,254.975006,260.5,254.225006,258.424988,250.403778,105350.0
90,2017-02-09,257.0,264.0,257.0,262.799988,254.64299,43070.0
91,2017-02-10,262.799988,269.899994,257.825012,260.075012,252.002594,51942.0
92,2017-02-13,264.975006,264.975006,253.350006,255.274994,247.351532,29606.0
93,2017-02-14,256.024994,263.0,251.324997,258.350006,250.331116,30232.0
94,2017-02-15,261.899994,261.924988,251.25,254.199997,246.787552,9228.0
95,2017-02-16,255.0,259.475006,251.925003,252.550003,245.185669,16390.0
96,2017-02-17,251.024994,252.475006,245.0,245.774994,238.608215,27152.0
97,2017-02-20,246.574997,252.475006,237.350006,240.975006,233.948212,26226.0
98,2017-02-21,241.175003,245.25,239.074997,244.699997,237.56459,161156.0
99,2017-02-22,241.524994,249.050003,241.524994,246.375,239.190735,271920.0
100,2017-02-23,249.0,249.0,245.0,245.75,238.583969,108410.0
101,2017-02-27,248.100006,251.0,245.600006,249.625,242.345963,9568.0
102,2017-02-28,253.199997,253.350006,246.0,249.800003,242.515869,407786.0
103,2017-03-01,250.5,256.0,249.475006,253.574997,246.180786,164308.0
104,2017-03-02,251.100006,267.5,251.100006,259.274994,251.714569,37146.0
105,2017-03-03,259.375,262.450012,256.950012,261.25,253.631958,218956.0
