,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-07-23,669.25,803.099976,664.0,741.650024,741.383362,35781326.0
1,2020-07-24,754.0,793.900024,723.349976,731.200012,730.937134,7742971.0
2,2020-07-27,737.25,748.799988,681.200012,727.299988,727.038513,4512553.0
3,2020-07-28,715.0,738.0,711.099976,716.5,716.242371,1427725.0
4,2020-07-29,714.049988,722.200012,700.0,702.849976,702.59729,879722.0
5,2020-07-30,705.0,713.0,675.0,683.799988,683.554138,1091585.0
6,2020-07-31,686.0,730.0,666.0,715.049988,714.792908,2528257.0
7,2020-08-03,714.799988,717.900024,697.0,711.900024,711.644043,712501.0
8,2020-08-04,717.099976,748.5,707.75,742.5,742.233032,1416395.0
9,2020-08-05,744.0,772.75,742.099976,748.950012,748.680725,2143463.0
10,2020-08-06,751.599976,767.849976,750.099976,754.75,754.478638,842038.0
11,2020-08-07,756.900024,769.5,742.299988,753.650024,753.379089,744053.0
12,2020-08-10,757.900024,768.0,743.700012,751.150024,750.879944,529715.0
13,2020-08-11,754.950012,818.799988,751.049988,766.849976,766.57428,6007634.0
14,2020-08-12,755.400024,778.900024,751.0,758.0,757.727478,922188.0
15,2020-08-13,765.799988,784.950012,757.5,773.299988,773.021973,1038906.0
16,2020-08-14,774.0,781.900024,675.150024,740.650024,740.383728,997328.0
17,2020-08-17,750.75,755.950012,734.099976,738.5,738.234497,549368.0
18,2020-08-18,743.650024,793.849976,739.25,783.75,783.468201,1630722.0
19,2020-08-19,787.900024,797.5,768.049988,781.25,780.969116,1377908.0
20,2020-08-20,771.200012,775.450012,761.150024,769.099976,768.823486,832902.0
21,2020-08-21,777.700012,805.900024,776.400024,795.799988,795.513855,1867968.0
22,2020-08-24,800.0,814.25,793.0,800.849976,800.562012,1426771.0
23,2020-08-25,812.950012,816.0,785.0,793.25,792.964783,1135025.0
24,2020-08-26,793.0,799.75,770.0,779.549988,779.269714,709156.0
25,2020-08-27,787.900024,795.0,777.049988,782.049988,781.768799,391955.0
26,2020-08-28,786.900024,793.599976,772.549988,775.200012,774.921326,274828.0
27,2020-08-31,776.0,781.400024,721.0,738.099976,737.834595,641886.0
28,2020-09-01,738.5,745.799988,719.0,725.049988,724.789307,302856.0
29,2020-09-02,725.700012,839.900024,725.700012,815.75,815.456726,2095168.0
30,2020-09-03,844.400024,859.0,767.0,775.150024,774.871338,3613435.0
31,2020-09-04,765.0,805.0,755.25,793.049988,792.764832,1380767.0
32,2020-09-07,794.5,807.700012,783.349976,801.950012,801.661682,727530.0
33,2020-09-08,801.0,808.0,782.5,787.5,787.216858,313842.0
34,2020-09-09,783.799988,784.799988,767.0,772.5,772.222229,211266.0
35,2020-09-10,780.0,790.0,771.25,777.400024,777.120544,232426.0
36,2020-09-11,775.950012,794.200012,771.75,780.950012,780.66925,333887.0
37,2020-09-14,788.5,838.799988,782.349976,820.349976,820.055054,820252.0
38,2020-09-15,824.950012,829.150024,811.25,821.200012,820.904785,263066.0
39,2020-09-16,825.700012,843.900024,816.049988,835.049988,834.749756,338256.0
40,2020-09-17,820.0,838.0,816.549988,826.0,825.703003,308679.0
41,2020-09-18,832.0,853.700012,821.75,827.599976,827.302429,623386.0
42,2020-09-21,827.599976,829.900024,771.099976,780.299988,780.01947,245380.0
43,2020-09-22,783.0,786.0,741.049988,762.450012,762.175903,268773.0
44,2020-09-23,770.25,784.700012,754.900024,770.5,770.222961,180797.0
45,2020-09-24,760.0,763.25,740.950012,747.5,747.231262,139986.0
46,2020-09-25,762.0,775.0,753.0,768.950012,768.673523,197324.0
47,2020-09-28,770.0,794.299988,770.0,786.299988,786.017273,192204.0
48,2020-09-29,783.0,815.0,775.049988,786.299988,786.017273,405764.0
49,2020-09-30,786.299988,812.0,781.049988,797.299988,797.013306,402353.0
50,2020-10-01,800.0,811.950012,790.0,795.599976,795.313904,202246.0
51,2020-10-05,797.200012,805.0,780.75,787.25,786.96698,325708.0
52,2020-10-06,796.0,799.650024,781.0,785.25,784.967651,106352.0
53,2020-10-07,790.900024,791.950012,775.0,778.900024,778.619995,102072.0
54,2020-10-08,788.0,788.0,773.049988,776.450012,776.170837,85554.0
55,2020-10-09,778.599976,780.0,762.25,765.049988,764.774902,132842.0
56,2020-10-12,769.799988,771.049988,750.0,756.099976,755.828125,112612.0
57,2020-10-13,754.25,779.849976,748.650024,773.400024,773.121948,141650.0
58,2020-10-14,771.900024,797.700012,767.950012,791.200012,790.915527,190126.0
59,2020-10-15,791.200012,793.950012,768.0,771.150024,770.872742,86989.0
60,2020-10-16,768.0,784.5,767.799988,774.049988,773.771667,77780.0
61,2020-10-19,772.0,807.700012,768.0,794.549988,794.264343,291292.0
62,2020-10-20,790.0,802.0,784.299988,793.0,792.714905,74056.0
63,2020-10-21,793.900024,799.700012,786.450012,790.25,789.965881,72273.0
64,2020-10-22,789.799988,807.0,780.0,801.549988,801.26178,118282.0
65,2020-10-23,808.0,824.0,796.0,806.900024,806.609924,299184.0
66,2020-10-26,810.5,812.0,779.799988,798.450012,798.162964,222794.0
67,2020-10-27,790.0,824.0,785.049988,809.700012,809.408875,260031.0
68,2020-10-28,810.0,831.0,796.650024,823.150024,822.854065,264153.0
69,2020-10-29,810.0,819.0,792.0,797.950012,797.663147,119433.0
70,2020-10-30,805.0,805.0,772.0,795.299988,795.014038,89005.0
71,2020-11-02,794.0,795.900024,781.200012,785.5,785.21759,77597.0
72,2020-11-03,792.700012,792.700012,773.049988,777.900024,777.620361,94269.0
73,2020-11-04,777.75,791.950012,775.200012,783.400024,783.118347,107904.0
74,2020-11-05,783.700012,789.0,779.549988,781.349976,781.069031,56727.0
75,2020-11-06,787.700012,788.799988,780.0,780.75,780.469299,108956.0
