,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,2220.0,2280.0,2005.0,2030.0,2030.0,6731.0
1,2016-09-30,2035.0,2145.0,2030.0,2085.0,2085.0,4237.0
2,2016-10-03,2105.0,2215.0,2095.0,2185.0,2185.0,4374.0
3,2016-10-04,2250.0,2255.0,2175.0,2185.0,2185.0,8315.0
4,2016-10-05,2185.0,2225.0,2170.0,2190.0,2190.0,996.0
5,2016-10-06,2200.0,2460.0,2195.0,2370.0,2370.0,23495.0
6,2016-10-07,2375.0,2425.0,2320.0,2355.0,2355.0,4261.0
7,2016-10-10,2355.0,2475.0,2355.0,2395.0,2395.0,6060.0
8,2016-10-13,2365.0,2375.0,2250.0,2315.0,2315.0,2631.0
9,2016-10-14,2355.0,2390.0,2295.0,2330.0,2330.0,5119.0
10,2016-10-17,2350.0,2370.0,2325.0,2345.0,2345.0,2531.0
11,2016-10-18,2360.0,2440.0,2335.0,2400.0,2400.0,3851.0
12,2016-10-19,2395.0,2420.0,2355.0,2380.0,2380.0,1598.0
13,2016-10-20,2415.0,2415.0,2345.0,2365.0,2365.0,2993.0
14,2016-10-21,2375.0,2395.0,2330.0,2335.0,2335.0,2841.0
15,2016-10-24,2355.0,2365.0,2330.0,2350.0,2350.0,695.0
16,2016-10-25,2375.0,2375.0,2305.0,2345.0,2345.0,1527.0
17,2016-10-26,2345.0,2345.0,2305.0,2310.0,2310.0,1933.0
18,2016-10-27,2300.0,2345.0,2260.0,2275.0,2275.0,1792.0
19,2016-10-28,2300.0,2315.0,2270.0,2285.0,2285.0,2304.0
20,2016-11-01,2305.0,2400.0,2280.0,2320.0,2320.0,2781.0
21,2016-11-02,2325.0,2330.0,2285.0,2290.0,2290.0,1897.0
22,2016-11-03,2285.0,2375.0,2265.0,2285.0,2285.0,4042.0
23,2016-11-04,2290.0,2320.0,2235.0,2240.0,2240.0,1578.0
24,2016-11-07,2230.0,2310.0,2230.0,2260.0,2260.0,2864.0
25,2016-11-08,2285.0,2310.0,2270.0,2285.0,2285.0,2541.0
26,2016-11-09,2000.0,2195.0,1910.0,2155.0,2155.0,3147.0
27,2016-11-10,2200.0,2295.0,2200.0,2235.0,2235.0,2293.0
28,2016-11-11,2240.0,2240.0,2125.0,2130.0,2130.0,1923.0
29,2016-11-15,2130.0,2170.0,2000.0,2035.0,2035.0,1370.0
30,2016-11-16,2075.0,2090.0,1980.0,2025.0,2025.0,1868.0
31,2016-11-17,2010.0,2075.0,2010.0,2030.0,2030.0,3296.0
32,2016-11-18,2060.0,2075.0,1980.0,2010.0,2010.0,3312.0
33,2016-11-21,2040.0,2050.0,1910.0,1945.0,1945.0,2304.0
34,2016-11-22,1990.0,1990.0,1880.0,1905.0,1905.0,4873.0
35,2016-11-23,1940.0,1940.0,1865.0,1905.0,1905.0,4578.0
36,2016-11-24,1910.0,2040.0,1880.0,1950.0,1950.0,4425.0
37,2016-11-25,1960.0,2020.0,1950.0,2000.0,2000.0,5216.0
38,2016-11-28,1975.0,2035.0,1975.0,2000.0,2000.0,5214.0
39,2016-11-29,2000.0,2070.0,2000.0,2010.0,2010.0,4735.0
