,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,42.400002,42.400002,36.0,37.799999,37.799999,236025.0
1,2016-09-30,37.900002,41.950001,37.700001,40.75,40.75,236292.0
2,2016-10-03,41.099998,41.75,40.549999,41.25,41.25,95907.0
3,2016-10-04,42.400002,43.799999,41.799999,43.400002,43.400002,1135076.0
4,2016-10-05,44.200001,45.0,42.700001,43.650002,43.650002,552484.0
5,2016-10-06,43.400002,44.5,43.299999,44.0,44.0,333187.0
6,2016-10-07,45.0,45.200001,42.599998,43.900002,43.900002,365253.0
7,2016-10-10,44.25,44.299999,43.5,43.75,43.75,157810.0
8,2016-10-13,43.799999,43.799999,41.849998,42.299999,42.299999,89051.0
9,2016-10-14,42.450001,43.900002,41.799999,42.75,42.75,177177.0
10,2016-10-17,42.5,42.950001,41.950001,42.25,42.25,57234.0
11,2016-10-18,42.5,43.5,42.349998,42.900002,42.900002,119702.0
12,2016-10-19,43.099998,45.450001,42.0,44.0,44.0,252661.0
13,2016-10-20,44.5,44.5,43.5,43.799999,43.799999,92005.0
14,2016-10-21,43.849998,46.299999,43.299999,44.049999,44.049999,581877.0
15,2016-10-24,44.099998,46.900002,43.549999,45.900002,45.900002,650389.0
16,2016-10-25,48.450001,51.299999,47.5,48.349998,48.349998,3210875.0
17,2016-10-26,46.950001,49.200001,46.599998,47.25,47.25,568252.0
18,2016-10-27,47.200001,48.0,45.450001,45.900002,45.900002,308455.0
19,2016-10-28,45.900002,46.150002,43.549999,44.25,44.25,301818.0
20,2016-11-01,44.799999,47.650002,44.099998,45.650002,45.650002,489170.0
21,2016-11-02,45.150002,45.150002,42.049999,44.349998,44.349998,268335.0
22,2016-11-03,44.099998,45.700001,43.549999,44.349998,44.349998,290572.0
23,2016-11-04,44.349998,45.150002,42.5,43.200001,43.200001,269624.0
24,2016-11-07,43.299999,44.349998,43.299999,43.900002,43.900002,111370.0
25,2016-11-08,44.049999,44.5,43.0,43.400002,43.400002,84515.0
26,2016-11-09,40.099998,42.5,36.450001,42.200001,42.200001,201983.0
27,2016-11-10,42.599998,44.299999,42.599998,43.400002,43.400002,183899.0
28,2016-11-11,42.349998,42.900002,42.049999,42.5,42.5,75948.0
29,2016-11-15,43.799999,43.799999,40.299999,40.5,40.5,90838.0
30,2016-11-16,41.099998,41.799999,40.099998,40.549999,40.549999,56834.0
31,2016-11-17,41.0,41.0,37.5,38.599998,38.599998,130309.0
32,2016-11-18,39.349998,40.0,38.200001,39.849998,39.849998,112991.0
33,2016-11-21,38.599998,42.849998,38.400002,38.799999,38.799999,82871.0
34,2016-11-22,39.049999,39.599998,38.099998,38.5,38.5,49391.0
35,2016-11-23,39.75,39.75,38.5,39.25,39.25,53586.0
36,2016-11-24,39.5,39.950001,38.299999,39.5,39.5,54635.0
37,2016-11-25,39.799999,40.900002,37.0,39.599998,39.599998,121959.0
38,2016-11-28,39.549999,40.799999,39.25,40.25,40.25,64877.0
