,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,5.285,5.29,4.6,4.775,4.06172,18570130.0
1,2016-09-30,4.78,5.025,4.78,4.975,4.231844,11164680.0
2,2016-10-03,5.015,5.215,5.015,5.165,4.393463,9198090.0
3,2016-10-04,5.2,5.28,5.17,5.24,4.457259,7011190.0
4,2016-10-05,5.285,5.32,5.185,5.235,4.453007,8279420.0
5,2016-10-06,5.26,5.425,5.225,5.26,4.474272,13601250.0
6,2016-10-07,5.3,5.445,5.23,5.405,4.597613,12380550.0
7,2016-10-10,5.47,5.51,5.4,5.42,4.610371,8465740.0
8,2016-10-13,5.4,5.64,5.32,5.44,4.627383,23778740.0
9,2016-10-14,5.575,5.775,5.475,5.74,4.88257,30218050.0
10,2016-10-17,5.8,6.125,5.8,5.915,5.03143,60719430.0
11,2016-10-18,5.97,6.04,5.915,5.945,5.056949,19248980.0
12,2016-10-19,5.975,5.99,5.805,5.88,5.001658,17348590.0
13,2016-10-20,5.935,6.08,5.92,6.0,5.103733,30543640.0
14,2016-10-21,6.035,6.34,5.915,5.985,5.090973,137353950.0
15,2016-10-24,6.1,6.185,5.99,6.065,5.159022,38692720.0
16,2016-10-25,6.1,6.145,6.03,6.055,5.150516,21759390.0
17,2016-10-26,6.03,6.085,5.87,5.925,5.039936,22981490.0
18,2016-10-27,5.93,5.97,5.815,5.875,4.997404,12821440.0
19,2016-10-28,5.885,5.99,5.85,5.875,4.997404,9288940.0
20,2016-11-01,5.99,6.09,5.93,5.96,5.069707,21717020.0
21,2016-11-02,5.905,5.99,5.765,5.8,4.933608,14538060.0
22,2016-11-03,5.81,6.15,5.81,5.965,5.073961,43524610.0
23,2016-11-04,5.98,6.005,5.62,5.745,4.886823,16694490.0
24,2016-11-07,5.85,5.96,5.815,5.86,4.984644,10703050.0
25,2016-11-08,5.9,5.95,5.77,5.89,5.010164,10828710.0
26,2016-11-09,5.38,5.59,4.925,5.535,4.708192,23273330.0
27,2016-11-10,5.64,5.87,5.64,5.715,4.861305,7433490.0
28,2016-11-11,5.635,5.665,5.42,5.44,4.627383,13271350.0
29,2016-11-15,5.44,5.49,5.025,5.075,4.316906,12425870.0
30,2016-11-16,5.105,5.24,5.005,5.055,4.299895,7308010.0
31,2016-11-17,5.07,5.195,5.055,5.085,4.325412,6629660.0
32,2016-11-18,5.085,5.24,5.07,5.19,4.414729,6235670.0
33,2016-11-21,5.2,5.295,4.935,4.985,4.240351,8309890.0
34,2016-11-22,5.005,5.13,4.905,5.04,4.287136,8012720.0
35,2016-11-23,5.115,5.185,5.055,5.17,4.397716,5780000.0
36,2016-11-24,5.17,5.365,5.1,5.315,4.521056,5894740.0
37,2016-11-25,5.33,5.475,5.31,5.37,4.56784,6870280.0
38,2016-11-28,5.37,5.53,5.345,5.445,4.631638,6856360.0
39,2016-11-29,5.46,5.57,5.42,5.515,4.691181,5912130.0
40,2016-11-30,5.84,5.89,5.66,5.805,4.937861,18360250.0
41,2016-12-01,5.825,5.845,5.655,5.67,4.823027,5832190.0
42,2016-12-02,5.6,5.65,5.52,5.555,4.725205,4070370.0
43,2016-12-05,5.555,5.65,5.54,5.615,4.776242,2800410.0
44,2016-12-06,5.62,5.71,5.6,5.62,4.780496,2680070.0
45,2016-12-07,5.63,5.69,5.505,5.54,4.712446,3719830.0
46,2016-12-08,5.6,5.74,5.6,5.685,4.835786,4571320.0
47,2016-12-09,5.72,5.885,5.62,5.82,4.950621,13502210.0
48,2016-12-12,5.815,5.98,5.785,5.845,4.971884,10704120.0
49,2016-12-13,5.85,5.93,5.805,5.82,4.950621,4930080.0
50,2016-12-14,5.825,5.92,5.725,5.845,4.971884,7891480.0
51,2016-12-15,5.8,6.09,5.8,6.035,5.133504,30608110.0
52,2016-12-16,6.005,6.05,5.88,5.92,5.035682,9726920.0
53,2016-12-19,5.925,5.925,5.8,5.825,4.954874,4087390.0
54,2016-12-20,5.88,5.98,5.805,5.825,4.954874,9777340.0
55,2016-12-21,5.86,5.94,5.81,5.85,4.976139,4653170.0
56,2016-12-22,5.85,5.85,5.65,5.68,4.831533,6351250.0
57,2016-12-23,5.605,5.75,5.555,5.595,4.75923,4075830.0
58,2016-12-26,5.515,5.575,5.445,5.475,4.657156,4884930.0
59,2016-12-27,5.405,5.565,5.405,5.545,4.716699,3662390.0
60,2016-12-28,5.56,5.63,5.525,5.57,4.737965,3435240.0
61,2016-12-29,5.55,5.645,5.55,5.61,4.771989,2638120.0
62,2016-12-30,5.635,5.82,5.615,5.755,4.89533,5913600.0
63,2017-01-02,5.765,5.87,5.675,5.845,4.971884,4769340.0
64,2017-01-03,5.86,6.08,5.82,5.995,5.099479,15722600.0
65,2017-01-04,6.01,6.045,5.91,5.93,5.044189,8504900.0
66,2017-01-05,5.955,6.055,5.94,5.975,5.082466,7870770.0
67,2017-01-06,5.995,6.025,5.86,5.88,5.001658,5641530.0
68,2017-01-09,5.905,5.935,5.86,5.89,5.010164,2474500.0
69,2017-01-10,5.9,6.17,5.9,6.08,5.171781,24862450.0
70,2017-01-11,6.17,6.34,6.0,6.16,5.239832,85559300.0
71,2017-01-12,6.22,6.25,5.975,6.015,5.116492,53149400.0
72,2017-01-13,6.055,6.645,6.055,6.535,5.558814,110588810.0
73,2017-01-16,6.61,6.82,6.535,6.695,5.694914,33168200.0
74,2017-01-17,6.7,6.88,6.595,6.79,5.775723,30155710.0
75,2017-01-18,6.845,6.845,6.365,6.455,5.490766,83248080.0
76,2017-01-19,6.455,6.555,6.315,6.4,5.44398,24087490.0
77,2017-01-20,6.385,6.49,6.205,6.225,5.295121,12335880.0
78,2017-01-23,6.255,6.68,6.255,6.63,5.639624,33164570.0
79,2017-01-24,6.66,6.69,6.535,6.595,5.609853,16118140.0
80,2017-01-25,6.525,6.68,6.47,6.64,5.699988,14558940.0
81,2017-01-27,6.645,6.93,6.64,6.785,5.824461,32608870.0
82,2017-01-30,6.91,7.04,6.875,6.925,5.944642,32177210.0
83,2017-01-31,6.925,6.95,6.72,6.765,5.807292,14234420.0
84,2017-02-01,6.795,6.89,6.655,6.855,5.884551,13090780.0
85,2017-02-02,6.825,6.95,6.8,6.87,5.897427,10701090.0
86,2017-02-03,6.87,6.95,6.85,6.88,5.906011,8430510.0
87,2017-02-06,6.88,7.315,6.835,7.15,6.137788,46248470.0
88,2017-02-07,7.21,7.215,7.0,7.045,6.047653,13169580.0
89,2017-02-08,7.055,7.285,7.055,7.145,6.133496,12255310.0
90,2017-02-09,7.15,7.24,7.06,7.13,6.12062,9979970.0
91,2017-02-10,7.19,7.225,7.065,7.18,6.163541,9197430.0
92,2017-02-13,7.2,7.23,7.035,7.07,6.069114,5564140.0
93,2017-02-14,7.105,7.105,6.95,7.055,6.056236,5909540.0
94,2017-02-15,7.075,7.075,6.67,6.71,5.760077,12794410.0
95,2017-02-16,6.73,7.08,6.73,6.96,5.974685,15693600.0
96,2017-02-17,7.02,7.08,6.93,6.95,5.966102,7667710.0
97,2017-02-20,6.95,7.08,6.905,7.025,6.030483,7993280.0
98,2017-02-21,7.025,7.14,7.005,7.055,6.056236,9109540.0
99,2017-02-22,7.07,7.115,6.955,6.98,5.991855,6090980.0
100,2017-02-23,6.99,7.02,6.88,6.895,5.918888,5605560.0
101,2017-02-27,6.92,7.1,6.9,7.01,6.017608,8249600.0
102,2017-02-28,7.055,7.285,7.055,7.185,6.167832,17538180.0
103,2017-03-01,7.25,7.44,7.25,7.365,6.322351,19949870.0
104,2017-03-02,7.39,7.44,7.12,7.15,6.137788,12235930.0
105,2017-03-03,7.15,7.48,7.13,7.42,6.369565,11739210.0
106,2017-03-06,7.475,7.735,7.36,7.68,6.592757,27516270.0
107,2017-03-07,7.8,7.82,7.64,7.695,6.605634,16779230.0
108,2017-03-08,7.71,8.03,7.68,7.8,6.695768,48126310.0
109,2017-03-09,7.74,7.915,7.705,7.735,6.639971,10431240.0
110,2017-03-10,7.8,7.87,7.6,7.66,6.575588,7054970.0
111,2017-03-14,7.8,8.08,7.755,8.02,6.884624,28889580.0
112,2017-03-15,8.1,8.39,8.095,8.3,7.124985,25916230.0
113,2017-03-16,8.295,8.45,8.15,8.25,7.082063,13494510.0
114,2017-03-17,8.3,8.425,8.185,8.355,7.172197,24427380.0
115,2017-03-20,8.345,8.345,8.2,8.225,7.060602,4835960.0
116,2017-03-21,8.24,8.24,7.985,8.06,6.918961,6590490.0
117,2017-03-22,8.03,8.12,7.9,8.015,6.880332,6861430.0
118,2017-03-23,8.04,8.895,8.04,8.785,7.541324,38033830.0
119,2017-03-24,8.875,9.035,8.58,8.625,7.403975,25431840.0
120,2017-03-27,8.625,8.82,8.51,8.745,7.506988,11999150.0
121,2017-03-28,8.845,8.92,8.68,8.73,7.494108,14678400.0
122,2017-03-29,8.775,8.825,8.46,8.53,7.322424,8539420.0
123,2017-03-30,8.55,8.725,8.535,8.615,7.395391,7029730.0
124,2017-03-31,8.7,8.76,8.61,8.645,7.421144,7222060.0
125,2017-04-03,8.69,8.72,8.48,8.54,7.331008,9552670.0
126,2017-04-05,8.565,8.58,8.375,8.455,7.258042,11370040.0
127,2017-04-06,8.45,8.45,8.24,8.275,7.103523,8702710.0
128,2017-04-07,8.29,8.585,8.065,8.15,6.996219,16949020.0
129,2017-04-10,8.215,8.375,8.2,8.215,7.052019,6235920.0
130,2017-04-11,8.25,8.36,8.235,8.27,7.099232,4986860.0
131,2017-04-12,8.29,8.35,8.1,8.175,7.01768,5384400.0
132,2017-04-13,8.19,8.215,8.1,8.125,6.974759,4121830.0
133,2017-04-17,8.15,8.3,8.09,8.265,7.09494,6366450.0
134,2017-04-18,8.34,8.435,8.165,8.23,7.064893,9813500.0
135,2017-04-19,8.25,8.335,8.11,8.205,7.043434,3536200.0
136,2017-04-20,8.27,8.3,8.17,8.195,7.034849,4039930.0
