,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,39.0,39.200001,34.099998,36.200001,36.200001,1747755.0
1,2016-09-30,36.200001,36.799999,35.75,36.299999,36.299999,989875.0
2,2016-10-03,36.700001,37.200001,36.299999,37.049999,37.049999,950613.0
3,2016-10-04,37.099998,38.049999,37.099998,37.599998,37.599998,1315632.0
4,2016-10-05,38.200001,38.650002,37.599998,37.849998,37.849998,1505233.0
5,2016-10-06,38.099998,38.200001,37.049999,37.25,37.25,988633.0
6,2016-10-07,37.25,37.450001,37.0,37.150002,37.150002,493342.0
7,2016-10-10,37.200001,37.299999,36.75,36.799999,36.799999,482503.0
8,2016-10-13,36.700001,37.0,35.799999,36.099998,36.099998,820574.0
9,2016-10-14,36.549999,36.549999,36.0,36.150002,36.150002,409667.0
10,2016-10-17,36.049999,36.349998,35.25,35.450001,35.450001,845866.0
11,2016-10-18,35.75,35.799999,35.400002,35.5,35.5,966334.0
12,2016-10-19,35.549999,35.849998,35.200001,35.299999,35.299999,950270.0
13,2016-10-20,35.349998,36.299999,35.299999,36.0,36.0,1534990.0
14,2016-10-21,36.049999,36.200001,35.599998,35.700001,35.700001,510136.0
15,2016-10-24,35.900002,36.099998,35.349998,35.549999,35.549999,594590.0
16,2016-10-25,35.849998,35.849998,35.25,35.349998,35.349998,378826.0
17,2016-10-26,35.349998,35.400002,34.299999,34.549999,34.549999,874322.0
18,2016-10-27,34.200001,35.049999,34.0,34.25,34.25,1028270.0
19,2016-10-28,34.299999,34.900002,34.200001,34.799999,34.799999,907104.0
20,2016-11-01,35.0,35.0,34.5,34.650002,34.650002,466801.0
21,2016-11-02,34.450001,34.450001,34.0,34.099998,34.099998,462414.0
22,2016-11-03,33.75,34.200001,33.5,33.549999,33.549999,725247.0
23,2016-11-04,33.549999,33.650002,32.650002,32.75,32.75,703585.0
24,2016-11-07,32.849998,34.150002,32.849998,33.0,33.0,1207359.0
25,2016-11-08,33.299999,33.700001,33.200001,33.299999,33.299999,390026.0
26,2016-11-09,32.299999,33.700001,26.799999,33.25,33.25,1661716.0
27,2016-11-10,35.0,38.25,34.25,36.900002,36.900002,5383853.0
28,2016-11-11,36.799999,38.650002,36.150002,37.099998,37.099998,3093618.0
29,2016-11-15,37.75,38.299999,36.299999,36.650002,36.650002,1973397.0
30,2016-11-16,37.25,37.900002,35.700001,35.950001,35.950001,951044.0
31,2016-11-17,36.599998,36.849998,35.900002,36.049999,36.049999,847005.0
32,2016-11-18,36.0,36.5,35.5,35.650002,35.650002,1016028.0
33,2016-11-21,35.700001,36.049999,33.549999,33.900002,33.900002,1021920.0
34,2016-11-22,34.099998,34.400002,33.0,33.299999,33.299999,1012031.0
35,2016-11-23,33.900002,33.900002,32.5,32.650002,32.650002,1320114.0
36,2016-11-24,32.950001,33.700001,32.150002,33.150002,33.150002,899464.0
37,2016-11-25,33.25,33.700001,33.150002,33.549999,33.549999,681327.0
38,2016-11-28,33.0,33.799999,32.700001,33.25,33.25,811719.0
39,2016-11-29,33.25,33.75,33.25,33.5,33.5,489582.0
40,2016-11-30,33.950001,34.299999,33.700001,33.900002,33.900002,975889.0
41,2016-12-01,34.349998,34.349998,33.700001,33.799999,33.799999,465917.0
42,2016-12-02,33.450001,34.0,33.299999,33.599998,33.599998,615838.0
43,2016-12-05,33.599998,33.650002,33.25,33.450001,33.450001,393524.0
44,2016-12-06,33.349998,33.900002,33.349998,33.700001,33.700001,343867.0
45,2016-12-07,34.0,34.150002,33.5,33.549999,33.549999,672973.0
46,2016-12-08,33.599998,33.950001,33.299999,33.599998,33.599998,375731.0
47,2016-12-09,33.75,34.099998,33.5,34.0,34.0,570881.0
48,2016-12-12,34.099998,34.25,33.75,33.849998,33.849998,401167.0
49,2016-12-13,33.849998,34.099998,33.700001,33.900002,33.900002,363155.0
50,2016-12-14,33.900002,34.0,33.549999,33.700001,33.700001,259754.0
51,2016-12-15,33.5,34.0,33.5,33.75,33.75,406855.0
52,2016-12-16,33.650002,35.5,33.650002,35.25,35.25,2052344.0
53,2016-12-19,35.099998,35.450001,34.450001,34.799999,34.799999,540034.0
54,2016-12-20,34.700001,34.700001,33.650002,34.0,34.0,474647.0
55,2016-12-21,34.299999,34.450001,33.75,34.0,34.0,334852.0
56,2016-12-22,34.0,34.200001,33.599998,33.700001,33.700001,499473.0
57,2016-12-23,33.849998,33.900002,33.349998,33.450001,33.450001,239616.0
58,2016-12-26,33.650002,33.650002,32.599998,32.75,32.75,449827.0
59,2016-12-27,32.5,33.25,32.5,32.950001,32.950001,311170.0
60,2016-12-28,32.950001,33.400002,32.849998,33.0,33.0,307950.0
61,2016-12-29,32.900002,33.200001,32.799999,33.049999,33.049999,198031.0
62,2016-12-30,33.299999,33.700001,33.099998,33.400002,33.400002,283590.0
63,2017-01-02,33.650002,33.950001,33.200001,33.549999,33.549999,222510.0
64,2017-01-03,33.849998,34.0,33.5,33.650002,33.650002,256351.0
65,2017-01-04,33.549999,34.150002,33.549999,33.700001,33.700001,262263.0
66,2017-01-05,33.849998,34.150002,33.75,33.950001,33.950001,428862.0
67,2017-01-06,34.150002,34.450001,33.950001,34.049999,34.049999,374352.0
68,2017-01-09,34.349998,34.349998,33.700001,33.799999,33.799999,287426.0
69,2017-01-10,33.799999,34.0,33.549999,33.650002,33.650002,270857.0
70,2017-01-11,33.700001,34.5,33.650002,34.200001,34.200001,736339.0
71,2017-01-12,34.599998,34.900002,34.099998,34.200001,34.200001,670164.0
72,2017-01-13,34.400002,34.5,33.900002,34.0,34.0,342798.0
73,2017-01-16,34.0,34.349998,33.950001,34.150002,34.150002,278132.0
74,2017-01-17,34.099998,35.0,33.900002,34.099998,34.099998,351128.0
75,2017-01-18,34.200001,34.5,33.900002,34.0,34.0,330374.0
76,2017-01-19,34.049999,34.450001,33.849998,34.049999,34.049999,393704.0
77,2017-01-20,34.0,34.150002,33.549999,33.599998,33.599998,344357.0
78,2017-01-23,33.900002,33.900002,33.450001,33.599998,33.599998,297340.0
79,2017-01-24,33.700001,33.849998,33.5,33.599998,33.599998,204565.0
80,2017-01-25,33.650002,33.950001,33.599998,33.75,33.75,342913.0
81,2017-01-27,33.849998,34.450001,33.799999,34.150002,34.150002,617031.0
82,2017-01-30,34.150002,34.900002,33.950001,34.299999,34.299999,1049538.0
83,2017-01-31,34.450001,34.900002,34.150002,34.299999,34.299999,802375.0
84,2017-02-01,34.5,34.5,33.5,34.099998,34.099998,1102408.0
85,2017-02-02,34.200001,37.299999,34.0,36.25,36.25,5222132.0
86,2017-02-03,36.450001,37.650002,36.200001,37.299999,37.299999,3152310.0
87,2017-02-06,37.900002,38.400002,37.0,37.099998,37.099998,1410587.0
88,2017-02-07,37.099998,38.200001,36.599998,37.099998,37.099998,1826435.0
89,2017-02-08,37.25,37.950001,36.700001,37.049999,37.049999,1297660.0
90,2017-02-09,37.150002,37.849998,36.450001,36.700001,36.700001,864015.0
91,2017-02-10,37.200001,37.200001,36.099998,36.200001,36.200001,535357.0
92,2017-02-13,36.299999,36.5,35.349998,35.549999,35.549999,503725.0
93,2017-02-14,35.799999,37.099998,35.299999,36.849998,36.849998,1070851.0
94,2017-02-15,37.099998,37.25,35.950001,36.049999,36.049999,847828.0
95,2017-02-16,36.099998,36.450001,35.799999,36.150002,36.150002,460909.0
96,2017-02-17,36.299999,36.700001,35.599998,35.75,35.75,525681.0
97,2017-02-20,35.75,37.599998,35.700001,36.799999,36.799999,910684.0
98,2017-02-21,36.599998,37.349998,36.5,36.700001,36.700001,855974.0
99,2017-02-22,36.599998,36.950001,36.299999,36.650002,36.650002,589362.0
100,2017-02-23,37.5,37.799999,36.799999,37.0,37.0,1182082.0
101,2017-02-27,37.299999,37.700001,36.75,37.0,37.0,1058113.0
102,2017-02-28,37.0,37.5,36.950001,37.099998,37.099998,629425.0
103,2017-03-01,37.099998,37.900002,37.099998,37.450001,37.450001,1330176.0
104,2017-03-02,37.549999,37.799999,36.200001,36.299999,36.299999,728403.0
105,2017-03-03,36.25,36.799999,36.0,36.650002,36.650002,705522.0
106,2017-03-06,36.299999,36.75,36.150002,36.349998,36.349998,299542.0
107,2017-03-07,36.700001,37.200001,36.25,36.450001,36.450001,868181.0
108,2017-03-08,36.5,36.75,36.0,36.099998,36.099998,446622.0
109,2017-03-09,36.099998,36.349998,35.400002,35.650002,35.650002,438629.0
110,2017-03-10,35.650002,36.0,35.200001,35.400002,35.400002,409475.0
111,2017-03-14,36.150002,36.700001,35.25,35.450001,35.450001,521104.0
112,2017-03-15,35.5,36.650002,35.400002,35.650002,35.650002,1284905.0
113,2017-03-16,35.799999,36.099998,35.700001,35.900002,35.900002,604075.0
