,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-09-29,896.200012,905.0,866.200012,877.299988,847.496582,7901.0
1,2016-09-30,885.0,891.0,877.0,888.700012,858.509277,3734.0
2,2016-10-03,893.299988,910.900024,890.0,900.25,869.666748,21965.0
3,2016-10-04,904.700012,904.700012,880.700012,887.950012,857.78479,3601.0
4,2016-10-05,888.049988,899.450012,886.049988,891.400024,861.117554,3385.0
5,2016-10-06,898.950012,899.0,877.299988,880.450012,850.53949,9443.0
6,2016-10-07,885.0,888.75,873.0,875.799988,846.047424,2935.0
7,2016-10-10,878.0,884.900024,870.099976,874.599976,844.888184,2785.0
8,2016-10-13,874.0,900.0,864.049988,869.099976,839.575073,3353.0
9,2016-10-14,865.150024,885.0,865.150024,872.549988,842.907837,5847.0
10,2016-10-17,875.0,883.0,867.099976,870.549988,840.975708,3789.0
11,2016-10-18,882.0,884.5,870.049988,880.950012,851.022583,30822.0
12,2016-10-19,881.049988,894.400024,873.0,890.700012,860.441284,31720.0
13,2016-10-20,891.450012,894.400024,880.0,882.0,852.036865,28896.0
14,2016-10-21,892.900024,892.900024,880.0,888.799988,858.605774,4568.0
15,2016-10-24,888.0,895.0,875.0,881.75,851.795349,7821.0
16,2016-10-25,888.0,918.799988,866.599976,872.75,843.101074,80011.0
17,2016-10-26,871.049988,886.0,862.0,873.900024,844.212097,6967.0
18,2016-10-27,873.049988,880.0,859.950012,872.849976,843.197693,3389.0
19,2016-10-28,884.5,884.5,855.0,874.75,845.033081,8981.0
20,2016-11-01,888.0,888.0,852.5,869.5,839.961487,7883.0
21,2016-11-02,863.549988,868.450012,848.0,854.299988,825.277893,7130.0
22,2016-11-03,854.0,863.25,836.049988,855.5,826.437073,11139.0
23,2016-11-04,848.0,860.0,832.200012,845.549988,816.825012,3568.0
24,2016-11-07,860.0,862.0,845.0,853.5,824.505066,5129.0
25,2016-11-08,852.950012,853.0,834.0,836.700012,808.275757,3324.0
26,2016-11-09,833.0,855.0,762.099976,838.849976,810.352722,6390.0
27,2016-11-10,837.0,852.0,830.25,833.849976,805.522583,5558.0
28,2016-11-11,834.599976,846.0,813.0,819.450012,791.611694,6651.0
29,2016-11-15,814.0,824.0,775.0,802.799988,775.527405,28064.0
30,2016-11-16,817.0,839.900024,788.400024,834.450012,806.102173,7244.0
31,2016-11-17,819.950012,848.0,819.900024,835.150024,806.778503,15062.0
32,2016-11-18,824.099976,856.799988,819.0,849.700012,820.834167,4827.0
33,2016-11-21,866.0,866.0,825.150024,844.950012,816.245483,14672.0
34,2016-11-22,860.0,860.0,832.349976,846.400024,817.646301,6511.0
35,2016-11-23,846.400024,854.900024,835.150024,847.5,818.708801,6329.0
36,2016-11-24,839.0,850.0,833.0,840.400024,811.850098,2298.0
37,2016-11-25,840.400024,850.0,828.0,834.0,805.66748,13552.0
38,2016-11-28,841.900024,849.0,831.049988,842.950012,814.313416,2423.0
39,2016-11-29,847.849976,854.0,841.650024,847.349976,818.563965,2750.0
40,2016-11-30,848.599976,869.799988,842.150024,864.900024,835.517639,25288.0
41,2016-12-01,855.0,858.0,840.5,851.900024,822.959351,3698.0
42,2016-12-02,851.549988,852.900024,843.0,849.75,820.882446,2760.0
43,2016-12-05,857.0,875.0,842.599976,855.049988,826.002319,6605.0
44,2016-12-06,858.299988,863.799988,847.0,850.25,821.365417,2468.0
45,2016-12-07,853.5,856.0,840.0,843.349976,814.699707,1736.0
46,2016-12-08,843.349976,867.599976,843.349976,862.299988,833.006104,2608.0
47,2016-12-09,869.799988,869.799988,849.299988,855.450012,826.388916,2528.0
48,2016-12-12,855.0,862.799988,847.0,851.049988,822.138245,2695.0
49,2016-12-13,849.0,860.950012,844.0,846.200012,817.453064,2002.0
50,2016-12-14,854.75,856.950012,847.0,850.650024,821.751953,1926.0
51,2016-12-15,843.349976,867.950012,842.0,857.450012,828.320801,2880.0
52,2016-12-16,857.450012,865.5,850.200012,855.700012,826.630371,2700.0
53,2016-12-19,845.400024,867.75,845.400024,859.549988,830.349487,1393.0
54,2016-12-20,864.700012,869.0,852.0,861.099976,831.846802,1293.0
55,2016-12-21,853.0,875.0,853.0,863.25,833.923828,2235.0
56,2016-12-22,852.200012,864.75,842.599976,849.549988,820.689209,1592.0
57,2016-12-23,845.0,855.0,840.099976,841.450012,812.86438,1098.0
58,2016-12-26,840.950012,844.900024,820.0,832.700012,804.41156,1573.0
59,2016-12-27,829.099976,844.950012,829.099976,834.700012,806.34375,381415.0
60,2016-12-28,830.0,928.0,830.0,870.549988,840.975708,263733.0
61,2016-12-29,868.849976,882.0,855.200012,862.900024,833.585754,9554.0
62,2016-12-30,862.900024,875.400024,858.049988,866.150024,836.725281,3548.0
63,2017-01-02,873.950012,880.0,856.099976,875.299988,845.564453,3114.0
64,2017-01-03,872.0,879.599976,864.049988,868.049988,838.56073,2400.0
65,2017-01-04,879.5,879.5,865.049988,872.700012,843.052795,1741.0
66,2017-01-05,869.25,887.799988,866.25,869.400024,839.864929,2171.0
67,2017-01-06,878.0,879.0,865.5,867.950012,838.464233,1311.0
68,2017-01-09,870.700012,874.950012,852.900024,865.450012,836.049072,1948.0
69,2017-01-10,863.049988,879.0,860.0,871.650024,842.038452,1438.0
70,2017-01-11,864.099976,877.900024,864.099976,873.799988,844.115417,2783.0
71,2017-01-12,873.799988,873.799988,855.049988,858.299988,829.141907,3344.0
72,2017-01-13,860.0,869.900024,845.400024,852.099976,823.152527,5342.0
73,2017-01-16,860.400024,870.0,845.549988,853.549988,824.553406,1272.0
74,2017-01-17,855.0,862.650024,848.099976,855.5,826.437073,1891.0
75,2017-01-18,848.049988,867.25,847.900024,856.75,827.644714,2535.0
76,2017-01-19,850.200012,859.950012,850.200012,855.200012,826.147278,2366.0
77,2017-01-20,855.599976,869.75,855.599976,866.5,837.063354,7720.0
78,2017-01-23,856.049988,868.950012,856.049988,864.950012,835.56604,8279.0
79,2017-01-24,861.650024,869.0,856.5,866.099976,836.677063,1997.0
80,2017-01-25,868.849976,870.0,861.0,866.25,836.821777,1821.0
81,2017-01-27,864.700012,872.0,855.0,869.299988,839.768372,4123.0
82,2017-01-30,856.700012,916.0,855.150024,886.150024,856.045837,25676.0
83,2017-01-31,874.0,886.0,861.25,867.200012,837.739624,7041.0
84,2017-02-01,869.25,876.549988,860.950012,870.049988,840.492798,2227.0
85,2017-02-02,879.950012,879.950012,860.099976,860.450012,831.218933,1957.0
86,2017-02-03,872.150024,874.950012,863.950012,865.599976,836.19397,3495.0
87,2017-02-06,874.950012,877.0,860.400024,866.0,836.580383,2449.0
88,2017-02-07,874.900024,874.900024,856.0,859.349976,830.156189,2224.0
89,2017-02-08,858.650024,861.5,841.099976,844.799988,816.100647,5786.0
90,2017-02-09,859.0,859.0,841.150024,844.299988,815.617554,2903.0
91,2017-02-10,846.900024,855.0,838.0,842.5,813.878723,4735.0
92,2017-02-13,834.099976,850.0,831.099976,832.5,804.218445,3624.0
93,2017-02-14,839.950012,839.950012,816.200012,817.099976,789.341553,5205.0
94,2017-02-15,819.049988,834.950012,819.049988,821.75,793.833679,5688.0
95,2017-02-16,842.0,855.450012,820.0,823.400024,795.427551,11377.0
